model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,258,235,23,0.9108527131782945,0.8697878192986521,0.9398624207925286
ML_minus_SDE,-762,-514,-248,0.1765389876880985,,
