model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,311,190,182,8,0.9578947368421052,0.042105263157894736,116
MOA,6729,1598,1418,180,0.8873591989987485,0.11264080100125157,4910
