year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,,,,,,,,,,,
2023,1572,226,1346,163,63,0.7212389380530974,97.0,50.0,47.0,47.0,3.0,0.94,0.2187610619469026,-176.0,-1475.0,0.22123893805309736,0.06170483460559797
2024,1647,299,1348,227,72,0.7591973244147158,105.0,69.0,36.0,67.0,2.0,0.9710144927536232,0.2118171683389074,-230.0,-1542.0,0.23076923076923078,0.06375227686703097
2025,1706,340,1366,259,81,0.7617647058823529,109.0,71.0,38.0,68.0,3.0,0.9577464788732394,0.19598177299088648,-269.0,-1597.0,0.2088235294117647,0.06389214536928488
