rank,model_id,family,supports_tree_shap,fidelity_accuracy,fidelity_f1,fidelity_precision,fidelity_recall,fidelity_balanced_accuracy,selected
1,rf_300_d12,RandomForestClassifier,1,0.8085641295973399,0.2661277786413804,0.1682720660507175,0.6359583952451708,0.7272436196684786,1
2,rf_100_d10,RandomForestClassifier,1,0.7622156441344633,0.2398236971739694,0.1452575376884422,0.687221396731055,0.7268832696715537,0
3,extra_300_d12,ExtraTreesClassifier,1,0.7149345119824825,0.2183678007560596,0.12839958158995815,0.7295690936106983,0.7218293677360805,0
4,logreg_balanced,LogisticRegression+Imputer+Scaler,0,0.584201776083695,0.15045567522783762,0.08466989929130922,0.674591381872214,0.6267874344488671,0
5,hgb_400_d8,HistGradientBoostingClassifier,0,0.9456226430396172,0.044191019244476125,0.543859649122807,0.023031203566121844,0.5109580208265951,0
