year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,1519,68,1451,53,15,0.7794117647058824,0.13425047438330173,-87,121,0.43870967741935485,1.086552217453505
2023,1572,226,1346,163,63,0.7212389380530974,97,50,47,47,3,0.94,0.2187610619469026,-176,-1475,0.22123893805309736,0.06170483460559797
2024,1647,299,1348,227,72,0.7591973244147158,105,69,36,67,2,0.9710144927536232,0.2118171683389074,-230,-1542,0.23076923076923078,0.06375227686703097
2025,1706,340,1366,259,81,0.7617647058823529,109,71,38,68,3,0.9577464788732394,0.19598177299088648,-269,-1597,0.2088235294117647,0.06389214536928488
