protocol,score_type,bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
ml_pretrain,raw_proba,0.0,10302.0,0.0038891890949958926,0.0141720054358377,0.0,0.008080338314175522
ml_pretrain,raw_proba,1.0,10301.0,0.014321034384965297,0.015629550529074845,0.008080338314175522,0.022241361066698943
ml_pretrain,raw_proba,2.0,10302.0,0.0341754602749277,0.024170064065230052,0.022241361066698943,0.04832273125648493
ml_pretrain,raw_proba,3.0,10301.0,0.06792993818891355,0.024657800213571498,0.04832273125648493,0.09072493314743042
ml_pretrain,raw_proba,4.0,10301.0,0.121135615366412,0.03155033491893991,0.09072493314743042,0.1559958606958389
ml_pretrain,raw_proba,5.0,10302.0,0.20110417657154459,0.0364977674238012,0.1559958606958389,0.25181627273559565
ml_pretrain,raw_proba,6.0,10301.0,0.313166143775345,0.044655858654499565,0.25181627273559565,0.37946991324424756
ml_pretrain,raw_proba,7.0,10302.0,0.45426487718432,0.0634828188701223,0.37946991324424756,0.5332031965255739
ml_pretrain,raw_proba,8.0,10301.0,0.6221489007814847,0.11960003883118143,0.5332031965255739,0.7190597891807556
ml_pretrain,raw_proba,9.0,10302.0,0.8296390767873687,0.3754610755193166,0.7190597891807556,1.0
ml_pretrain,calibrated_proba,0.0,10269.0,0.004428525826875336,0.010711851202648748,0.0,0.0079051383399209
ml_pretrain,calibrated_proba,1.0,10302.0,0.009725781589633947,0.017763541059988352,0.0079051383399209,0.0114547537227949
ml_pretrain,calibrated_proba,2.0,10102.0,0.013883241689091915,0.022173826964957434,0.0114547537227949,0.0157587548638132
ml_pretrain,calibrated_proba,3.0,9834.0,0.01752652052519206,0.02216798861094163,0.0157587548638132,0.0192700729927007
ml_pretrain,calibrated_proba,4.0,10743.0,0.022110428821930997,0.02764590896397654,0.0192700729927007,0.0260061919504643
ml_pretrain,calibrated_proba,5.0,10327.0,0.02890635481886216,0.03650624576353249,0.0260061919504643,0.0330935251798561
ml_pretrain,calibrated_proba,6.0,10362.0,0.03697920091693243,0.04169079328314997,0.0330935251798561,0.0429530201342281
ml_pretrain,calibrated_proba,7.0,10446.0,0.04966494067804086,0.06921309592188397,0.0429530201342281,0.0606860158311345
ml_pretrain,calibrated_proba,8.0,10326.0,0.08549094426376827,0.131609529343405,0.0606860158311345,0.1276595744680851
ml_pretrain,calibrated_proba,9.0,10304.0,0.2994506112426453,0.36898291925465837,0.1276595744680851,1.0
ml_racewise,raw_proba,0.0,12313.0,0.0007241271850698007,0.010639161861447251,0.0,0.00211355355568226
ml_racewise,raw_proba,1.0,12313.0,0.005165091947468022,0.0149435555916511,0.00211355355568226,0.009137925878167126
ml_racewise,raw_proba,2.0,12313.0,0.015742066381581564,0.019654024202062862,0.009137925878167126,0.024329418316483494
ml_racewise,raw_proba,3.0,12313.0,0.0377023848923207,0.025582717453098352,0.024329418316483494,0.054141636937856605
ml_racewise,raw_proba,4.0,12312.0,0.0773843482942783,0.02794022092267706,0.054141636937856605,0.1050441339612007
ml_racewise,raw_proba,5.0,12313.0,0.14350511429987647,0.03346057012913181,0.1050441339612007,0.18807037770748158
ml_racewise,raw_proba,6.0,12313.0,0.24787088429294651,0.04345001218224641,0.18807037770748158,0.31430844068527214
ml_racewise,raw_proba,7.0,12313.0,0.39368844584379675,0.05417038901973524,0.31430844068527214,0.47892515659332274
ml_racewise,raw_proba,8.0,12313.0,0.5761084305971902,0.09502152196865102,0.47892515659332274,0.6821242213249206
ml_racewise,raw_proba,9.0,12313.0,0.8097699204002785,0.34524486315276537,0.6821242213249206,1.0
ml_racewise,calibrated_proba,0.0,12240.0,0.002561067733926663,0.008741830065359477,0.0,0.0061486864169927
ml_racewise,calibrated_proba,1.0,11940.0,0.00835467578932674,0.014489112227805695,0.0061486864169927,0.0104006163328197
ml_racewise,calibrated_proba,2.0,12585.0,0.012561658147610285,0.017560588001589193,0.0104006163328197,0.0151098901098901
ml_racewise,calibrated_proba,3.0,12371.0,0.01690681852311986,0.023280252202732197,0.0151098901098901,0.0190963464725805
ml_racewise,calibrated_proba,4.0,12085.0,0.02118348929688663,0.02904426975589574,0.0190963464725805,0.0238425524536153
ml_racewise,calibrated_proba,5.0,12608.0,0.02756349071890178,0.03117068527918782,0.0238425524536153,0.0321637426900584
ml_racewise,calibrated_proba,6.0,12327.0,0.03588456281430605,0.03772207349720127,0.0321637426900584,0.0415584415584415
ml_racewise,calibrated_proba,7.0,12237.0,0.0481653191082024,0.06472174552586418,0.0415584415584415,0.0582010582010582
ml_racewise,calibrated_proba,8.0,12293.0,0.07970875552703276,0.10778491824615635,0.0582010582010582,0.1093585699263932
ml_racewise,calibrated_proba,9.0,12443.0,0.2713945490658531,0.33239572450373706,0.1093585699263932,1.0
