precision,recall,threshold
0.054580106240622844,1.0,0.002472887529630221
0.054582319545823196,1.0,0.002879290926707567
0.054584533030536515,1.0,0.002899592764910415
0.05458674669478465,1.0,0.003022686513211867
0.05458896053858945,1.0,0.0030304897856904584
0.054591174561972745,1.0,0.0030695539915997962
0.054593388764956396,1.0,0.0030746985997854638
0.054597817709812195,1.0,0.003109855891750028
0.05460224737333171,1.0,0.0031238825605815136
0.054606677755689885,1.0,0.003175966107133196
0.05460889321648815,1.0,0.003218547021467176
0.05461332467743244,1.0,0.0032433121442830824
0.05461775685765298,1.0,0.003263114687494719
0.054619973217546566,1.0,0.003439608908366283
0.05462218975732489,1.0,0.00348137838675293
0.05462440647700986,1.0,0.0035695118696625213
0.05462662337662338,1.0,0.0037128785163162664
0.05463105771572368,1.0,0.003849458304834638
0.05463327515525429,1.0,0.0038942668933056993
0.054635492774801106,1.0,0.003952738753454096
0.05463771057438604,1.0,0.004415054858143718
0.054642146713757965,1.0,0.004449563166958612
0.05464436505358883,1.0,0.004456272423498
0.05464880227365002,1.0,0.00463219426702705
0.054651021153924235,1.0,0.00467871457123982
0.05465545945506964,1.0,0.004795762924623562
0.05465767887598473,1.0,0.0048049918611297844
0.05465989847715736,1.0,0.004875642358909958
0.054662118258609484,1.0,0.004994757299961519
0.054664338220363075,1.0,0.005064837906688846
0.054666558362440096,1.0,0.00512837150244698
0.054668778684862515,1.0,0.005181086534682131
0.054670999187652315,1.0,0.005213545332412381
0.05467321987083147,1.0,0.005580825340783388
0.054675440734421966,1.0,0.005585671105882127
0.05467766177844579,1.0,0.005631653159136113
0.05467988300292493,1.0,0.005636763433272062
0.05468210440788137,1.0,0.005790720514145514
0.05468432599333713,1.0,0.005868667776276143
0.05468654775931418,1.0,0.005887259753621388
0.054688769705834556,1.0,0.005904287812662292
0.054693214140593256,1.0,0.006066841488365809
0.05469765929778934,1.0,0.006110922223934746
0.054699882147356445,1.0,0.006188054808505893
0.05470210517759896,1.0,0.006203634851029978
0.05470432838853891,1.0,0.0062599555214886944
0.05470655178019834,1.0,0.0063995593029978455
0.05470877535259928,1.0,0.006486749642934512
0.05471099910576376,1.0,0.006518264516689362
0.054713223039713835,1.0,0.006520110460385782
0.05471544715447155,1.0,0.006630245214244427
0.054717671450058944,1.0,0.006740019061444102
0.05471989592649809,1.0,0.0067570061311885065
0.05472212058381103,1.0,0.006820491245944288
0.05472434542201984,1.0,0.0068538932825058145
0.05472657044114657,1.0,0.006889639655452175
0.0547287956412133,1.0,0.006896907918852515
0.0547310210222421,1.0,0.007007043919336587
0.05473324658425504,1.0,0.007083570795184427
0.05473547232727421,1.0,0.007177114072169578
0.054739924356419535,1.0,0.0071942838800348585
0.0547443771098548,1.0,0.007299246753535793
0.054746603758236395,1.0,0.007359935330038871
0.054748830587756765,1.0,0.007433169007648073
0.054751057598438006,1.0,0.0075301206656806785
0.05475328479030224,1.0,0.007675030906679859
0.05475551216337157,1.0,0.007677655168161481
0.05475773971766812,1.0,0.0076866300992065005
0.054759967453213994,1.0,0.007737609225284057
0.054762195370031325,1.0,0.007743956435686603
0.05476442346814224,1.0,0.007815687362672595
0.054768880208333336,1.0,0.007842168433716105
0.05477110885045778,1.0,0.007869345238921521
0.054773337673964355,1.0,0.007919632090216554
0.05477556667887519,1.0,0.007922376106020318
0.054777795865212434,1.0,0.008097891160450763
0.05478002523299825,1.0,0.008128845940965045
0.054782254782254784,1.0,0.008280472143789738
0.05478671442526864,1.0,0.008305073346230662
0.05479117479443133,1.0,0.008320908873611078
0.054793405251373904,1.0,0.008378671605219065
0.05479563588992021,1.0,0.0083879005112805
0.054797866710092416,1.0,0.008415930349421038
0.05480009771191271,1.0,0.008433414909836144
0.054802328895403284,1.0,0.008448109645737431
0.05480456026058632,1.0,0.008479162394397811
0.05480679180748402,1.0,0.008491159209343275
0.05480902353611858,1.0,0.008543738512548662
0.0548112554465122,1.0,0.008558028677430215
0.05481348753868708,1.0,0.00863612478230482
0.05481571981266545,1.0,0.008650198674584494
0.05481795226846949,1.0,0.008776190959978513
0.05482018490612145,1.0,0.008805146705994303
0.05482241772564353,1.0,0.008845913232502294
0.05482465072705796,1.0,0.008852724725511704
0.05482688391038697,1.0,0.008904473200990484
0.054829117275652775,1.0,0.008954373647700874
0.05483805255652882,1.0,0.00899127425507072
0.05484028683181225,1.0,0.009044576128969183
0.05484252128916595,1.0,0.009053011053132765
0.054844755928612175,1.0,0.009066630663162647
0.05484699075017318,1.0,0.009146110000683463
0.05484922575387123,1.0,0.009187075206402185
0.0548514609397286,1.0,0.009193694271624628
0.05485369630776754,1.0,0.009289833293530916
0.054855931858010354,1.0,0.009307884682431263
0.05486040350519666,1.0,0.00935270584236469
0.05486263960218472,1.0,0.009410163269817407
0.05486487588146578,1.0,0.009443833411717461
0.05486711234306212,1.0,0.009464385234523294
0.054869348986996046,1.0,0.009466576395291951
0.05487158581328985,1.0,0.009467455119027282
0.05487382282196584,1.0,0.009474915340335847
0.05487606001304631,1.0,0.009529635856651739
0.054878297386553594,1.0,0.009749999326704485
0.05488053494250999,1.0,0.009809762632462918
0.054882772680937816,1.0,0.009819263408739903
0.0548850106018594,1.0,0.009835884905860527
0.05488724870529707,1.0,0.009847551908666447
0.05488948699127314,1.0,0.009849420819559883
0.05489396411092985,1.0,0.009870231098669888
0.054896202944655165,1.0,0.009938399690928664
0.05489844196100824,1.0,0.009970510589855363
0.05490068116001142,1.0,0.009980375483898048
0.054902920541687064,1.0,0.010030724356490819
0.05490739985314514,1.0,0.010104094524620763
0.0549096397829723,1.0,0.010132695288095322
0.05491187989556136,1.0,0.010162004651378303
0.05491412019093468,1.0,0.010288912739026178
0.05491636066911465,1.0,0.010302187922018455
0.05491860133012363,1.0,0.01037916202467844
0.05492308320071816,1.0,0.010450551008619191
0.05492532441034849,1.0,0.010530555921984541
0.05492756580289737,1.0,0.01053645088845604
0.0549298073783872,1.0,0.01054855368599054
0.05493204913684039,1.0,0.010565003606216846
0.054934291078279324,1.0,0.010583402132815275
0.05493653320272642,1.0,0.010631488022455568
0.05493877551020408,1.0,0.010649957096754016
0.054941018000734726,1.0,0.010796014861209286
0.054943260674340764,1.0,0.010829604596834639
0.05494550353104462,1.0,0.01092861696804524
0.05494774657086871,1.0,0.011049803730756652
0.054949989793835474,1.0,0.011077490124337971
0.054954476789286735,1.0,0.01118448898965904
0.0549567205618161,1.0,0.011188761895830509
0.05495896451757788,1.0,0.011265058507919808
0.054961208656594526,1.0,0.011274238810169208
0.05496345297888848,1.0,0.01138544084088449
0.0549656974844822,1.0,0.011391604770487602
0.05496794217339813,1.0,0.011430761712889677
0.054970187045658744,1.0,0.011627150468536067
0.0549724321012865,1.0,0.011680267422683927
0.054976922762733325,1.0,0.01169515685642681
0.054981414157918386,1.0,0.01171871873916216
0.05498366013071895,1.0,0.011775212028064209
0.054985906287021526,1.0,0.011777882563528038
0.0549881526268486,1.0,0.011807429779486601
0.054990399150222656,1.0,0.011829054846600313
0.054992645857166206,1.0,0.011849806772855147
0.05499489274770174,1.0,0.011858581949601196
0.05499713982185176,1.0,0.011868783046071097
0.054999387079638785,1.0,0.011869843789605079
0.05500163452108532,1.0,0.011873372618976355
0.055006129955046994,1.0,0.011891400325036794
0.05500837794760718,1.0,0.012002186771075549
0.05501062612391695,1.0,0.012007618146716848
0.05501287448399886,1.0,0.012040535827718786
0.055015123027875416,1.0,0.012047134468766938
0.05501737175556918,1.0,0.012058197191509924
0.055019620667102684,1.0,0.012067131039788754
0.05502186976249847,1.0,0.012070505402128107
0.055024119041779083,1.0,0.012076336362160748
0.05502636850496709,1.0,0.012079774228596445
0.05502861815208503,1.0,0.012080014923308817
0.055030867983155485,1.0,0.012085837710825007
0.055035368197244146,1.0,0.01209422729526957
0.05503761858030749,1.0,0.012104081619727222
0.055039869147413614,1.0,0.012115406317259797
0.055042119898585096,1.0,0.012130531887982278
0.055044370833844516,1.0,0.012168554405964966
0.05504662195321446,1.0,0.012203902489723185
0.05504887325671751,1.0,0.012213844468415724
0.055051124744376276,1.0,0.012251592296016729
0.05505337641621334,1.0,0.012253972985247058
0.05505562827225131,1.0,0.01234423217201391
0.05505788031251278,1.0,0.012358117857113344
0.05506013253702037,1.0,0.012365116314189616
0.05506238494579669,1.0,0.012394100888674656
0.05506463753886434,1.0,0.012397815756612371
0.05506689031624596,1.0,0.012442969094759471
0.05506914327796416,1.0,0.01244623042631664
0.05507139642404157,1.0,0.012482834066473004
0.05507364975450082,1.0,0.01249012163126639
0.05507590326936454,1.0,0.012499031653134414
0.055078156968655374,1.0,0.01250748856890539
0.05508266492060894,1.0,0.012566080750090775
0.05508491917331696,1.0,0.012601289405382627
0.05508717361054269,1.0,0.012612973258044986
0.055089428232308765,1.0,0.012617429400471294
0.05509168303863785,1.0,0.012645206941959997
0.05509393802955262,1.0,0.012653673519919714
0.05509619320507573,1.0,0.01267093683506861
0.05510070411003766,1.0,0.012718226725907172
0.05510295983952184,1.0,0.012768898463568839
0.05510521575370507,1.0,0.012776154095289503
0.05510747185261003,1.0,0.012780836819399437
0.05510972813625942,1.0,0.012781658803626078
0.05511198460467592,1.0,0.012813644621320168
0.05511424125788224,1.0,0.01281773853285755
0.05511649809590107,1.0,0.012818651573228337
0.055118755118755115,1.0,0.012851629325036428
0.05512101232646709,1.0,0.012871731563939908
0.05512326971905971,1.0,0.012873811070562983
0.055125527296555676,1.0,0.01292592827152516
0.05512778505897772,1.0,0.0130210760963344
0.05513004300634856,1.0,0.013039154335402658
0.055132301138690915,1.0,0.01304265131706927
0.05513455945602753,1.0,0.01308210882971913
0.05513681795838112,1.0,0.013116171311444859
0.05513907664577444,1.0,0.013134928287832838
0.05514359457577123,1.0,0.01313534896285686
0.05514585381842019,1.0,0.013181861115427702
0.05514811324619986,1.0,0.013194738680058472
0.055150372859133,1.0,0.013199115037234553
0.05515263265724237,1.0,0.013211768528283522
0.05515489264055073,1.0,0.013234486789298162
0.05515715280908085,1.0,0.013278323381870521
0.055159413162855504,1.0,0.013291556219485237
0.055161673701897465,1.0,0.013301197745138556
0.05516393442622951,1.0,0.013307953248364814
0.05516619533587442,1.0,0.0133618174809828
0.05516845643085499,1.0,0.01336515288030739
0.05517297917691425,1.0,0.013411983524394802
0.055175240828038534,1.0,0.013423789976553564
0.05517750266458965,1.0,0.01344930223662623
0.055179764686590416,1.0,0.013454147939304323
0.05518202689406363,1.0,0.013454332791327524
0.055184289287032104,1.0,0.013469582347225572
0.05518655186551866,1.0,0.013475719067003962
0.055188814629546105,1.0,0.013567844087104831
0.05519107757913728,1.0,0.013588087613735044
0.055193340714315,1.0,0.013588815849088417
0.05519560403510211,1.0,0.013603005305091656
0.05519786754152143,1.0,0.013612305929175417
0.0552001312335958,1.0,0.013626948609690605
0.05520239511134807,1.0,0.013634672560377963
0.055206923423977684,1.0,0.013682213155870399
0.055209187858900735,1.0,0.013715448387274749
0.055211452479593096,1.0,0.013766163914492612
0.05521371728607761,1.0,0.013812833351327344
0.05521598227837716,1.0,0.013828740291485054
0.0552182474565146,1.0,0.01385071912692449
0.055220512820512824,1.0,0.013852661106401447
0.05522277837039468,1.0,0.013889787755767906
0.05522504410618307,1.0,0.013897379886142454
0.05522731002790087,1.0,0.013926197047307482
0.05522957613557097,1.0,0.013939362032106111
0.05523410890885962,1.0,0.013944763290586588
0.05523637557452397,1.0,0.014017441483929855
0.0552386424262322,1.0,0.014077247295977235
0.055240909464007226,1.0,0.014078096916223953
0.055243176687871945,1.0,0.014117073615110613
0.05524544409784929,1.0,0.01414366130123554
0.05524771169396216,1.0,0.01415507364387949
0.05524997947623348,1.0,0.014167240284164766
0.05525224744468618,1.0,0.01418777946924602
0.05525451559934318,1.0,0.014203902578070119
0.055256783940227434,1.0,0.014214318140844753
0.055259052467361854,1.0,0.014256356432689042
0.05526132118076939,1.0,0.014270189799786876
0.055263590080472984,1.0,0.014388604028362652
0.05526585916649559,1.0,0.014419642378486008
0.05526812843886015,1.0,0.014459249782564975
0.05527039789758962,1.0,0.014542510431594992
0.05527266754270697,1.0,0.014549489396178632
0.055274937374235146,1.0,0.014550941199795563
0.055277207392197124,1.0,0.014551770988133029
