policy_label,threshold,rows,predicted_positive,tp,fp,tn,fn,positive_rate,precision,recall,f1
constrained_policy,,103015,212,181,31,95259,7544,0.0020579527253312625,0.8537735849056604,0.02343042071197411,0.04560917223132166
fixed_threshold_0.10,0.1,103015,11972,4220,7752,87538,3505,0.11621608503615978,0.35248914132976944,0.5462783171521035,0.4284916484743869
fixed_threshold_0.50,0.5,103015,1247,922,325,94965,6803,0.012105033247585302,0.739374498797113,0.11935275080906149,0.2055283102987071
