year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,,,,,,,,,,,
2023,1572,226,1346,163,63,0.7212389380530974,43.0,31.0,12.0,28.0,3.0,0.9032258064516129,0.18198686839851552,-195.0,-1529.0,0.13716814159292035,0.027353689567430027
2024,1647,299,1348,227,72,0.7591973244147158,74.0,56.0,18.0,53.0,3.0,0.9464285714285714,0.18723124701385563,-243.0,-1573.0,0.18729096989966554,0.044930176077717064
2025,1706,340,1366,259,81,0.7617647058823529,95.0,71.0,24.0,69.0,2.0,0.971830985915493,0.2100662800331401,-269.0,-1611.0,0.2088235294117647,0.05568581477139507
