model,race,year,actionable,scored,tp,fp,precision,coverage,race_index
MOA,2022 :: Canadian Grand Prix,2022,5,2,2,0,1.0,0.4,8
MOA,2022 :: Dutch Grand Prix,2022,60,10,7,3,0.7,0.16666666666666666,9
MOA,2022 :: Emilia Romagna Grand Prix,2022,28,9,9,0,1.0,0.32142857142857145,10
MOA,2022 :: French Grand Prix,2022,6,2,2,0,1.0,0.3333333333333333,11
MOA,2022 :: Hungarian Grand Prix,2022,39,6,3,3,0.5,0.15384615384615385,12
MOA,2022 :: Italian Grand Prix,2022,34,5,5,0,1.0,0.14705882352941177,13
MOA,2022 :: Mexico City Grand Prix,2022,21,1,1,0,1.0,0.047619047619047616,14
MOA,2022 :: Miami Grand Prix,2022,49,5,4,1,0.8,0.10204081632653061,15
MOA,2022 :: Monaco Grand Prix,2022,6,4,3,1,0.75,0.6666666666666666,16
MOA,2022 :: Saudi Arabian Grand Prix,2022,75,8,6,2,0.75,0.10666666666666667,17
MOA,2022 :: Spanish Grand Prix,2022,191,17,14,3,0.8235294117647058,0.08900523560209424,18
MOA,2022 :: São Paulo Grand Prix,2022,26,5,3,2,0.6,0.19230769230769232,19
MOA,2022 :: United States Grand Prix,2022,19,8,7,1,0.875,0.42105263157894735,20
MOA,2023 :: Abu Dhabi Grand Prix,2023,64,19,17,2,0.8947368421052632,0.296875,21
MOA,2023 :: Australian Grand Prix,2023,30,3,0,3,0.0,0.1,22
MOA,2023 :: Austrian Grand Prix,2023,58,14,14,0,1.0,0.2413793103448276,23
MOA,2023 :: Azerbaijan Grand Prix,2023,21,6,5,1,0.8333333333333334,0.2857142857142857,24
MOA,2023 :: Bahrain Grand Prix,2023,82,31,27,4,0.8709677419354839,0.3780487804878049,25
MOA,2023 :: Belgian Grand Prix,2023,56,19,15,4,0.7894736842105263,0.3392857142857143,26
MOA,2023 :: British Grand Prix,2023,58,10,9,1,0.9,0.1724137931034483,27
MOA,2023 :: Canadian Grand Prix,2023,112,12,12,0,1.0,0.10714285714285714,28
MOA,2023 :: Dutch Grand Prix,2023,150,26,19,7,0.7307692307692307,0.17333333333333334,29
MOA,2023 :: Emilia Romagna Grand Prix,2023,5,4,4,0,1.0,0.8,30
MOA,2023 :: French Grand Prix,2023,3,3,3,0,1.0,1.0,31
MOA,2023 :: Hungarian Grand Prix,2023,22,4,4,0,1.0,0.18181818181818182,32
MOA,2023 :: Italian Grand Prix,2023,39,4,4,0,1.0,0.10256410256410256,33
MOA,2023 :: Japanese Grand Prix,2023,32,9,8,1,0.8888888888888888,0.28125,34
MOA,2023 :: Las Vegas Grand Prix,2023,11,5,5,0,1.0,0.45454545454545453,35
MOA,2023 :: Mexico City Grand Prix,2023,53,9,7,2,0.7777777777777778,0.16981132075471697,36
MOA,2023 :: Miami Grand Prix,2023,29,5,5,0,1.0,0.1724137931034483,37
MOA,2023 :: Monaco Grand Prix,2023,52,11,11,0,1.0,0.21153846153846154,38
MOA,2023 :: Qatar Grand Prix,2023,14,4,3,1,0.75,0.2857142857142857,39
MOA,2023 :: Saudi Arabian Grand Prix,2023,22,9,9,0,1.0,0.4090909090909091,40
MOA,2023 :: Singapore Grand Prix,2023,11,5,5,0,1.0,0.45454545454545453,41
MOA,2023 :: Spanish Grand Prix,2023,50,13,12,1,0.9230769230769231,0.26,42
MOA,2023 :: São Paulo Grand Prix,2023,42,10,9,1,0.9,0.23809523809523808,43
MOA,2023 :: United States Grand Prix,2023,46,24,22,2,0.9166666666666666,0.5217391304347826,44
MOA,2024 :: Abu Dhabi Grand Prix,2024,147,37,34,3,0.918918918918919,0.25170068027210885,45
MOA,2024 :: Australian Grand Prix,2024,63,11,9,2,0.8181818181818182,0.1746031746031746,46
MOA,2024 :: Austrian Grand Prix,2024,147,46,44,2,0.9565217391304348,0.3129251700680272,47
MOA,2024 :: Azerbaijan Grand Prix,2024,79,18,13,5,0.7222222222222222,0.22784810126582278,48
MOA,2024 :: Bahrain Grand Prix,2024,168,64,57,7,0.890625,0.38095238095238093,49
MOA,2024 :: Belgian Grand Prix,2024,126,37,31,6,0.8378378378378378,0.29365079365079366,50
MOA,2024 :: British Grand Prix,2024,55,10,10,0,1.0,0.18181818181818182,51
MOA,2024 :: Canadian Grand Prix,2024,101,14,14,0,1.0,0.13861386138613863,52
MOA,2024 :: Chinese Grand Prix,2024,17,0,0,0,,0.0,53
MOA,2024 :: Dutch Grand Prix,2024,208,46,38,8,0.8260869565217391,0.22115384615384615,54
MOA,2024 :: Emilia Romagna Grand Prix,2024,106,17,16,1,0.9411764705882353,0.16037735849056603,55
MOA,2024 :: French Grand Prix,2024,10,4,4,0,1.0,0.4,56
MOA,2024 :: Hungarian Grand Prix,2024,86,25,24,1,0.96,0.29069767441860467,57
MOA,2024 :: Italian Grand Prix,2024,168,39,36,3,0.9230769230769231,0.23214285714285715,58
MOA,2024 :: Japanese Grand Prix,2024,40,11,8,3,0.7272727272727273,0.275,59
MOA,2024 :: Las Vegas Grand Prix,2024,83,23,20,3,0.8695652173913043,0.27710843373493976,60
MOA,2024 :: Mexico City Grand Prix,2024,283,31,28,3,0.9032258064516129,0.10954063604240283,61
MOA,2024 :: Miami Grand Prix,2024,132,23,22,1,0.9565217391304348,0.17424242424242425,62
MOA,2024 :: Monaco Grand Prix,2024,58,12,12,0,1.0,0.20689655172413793,63
MOA,2024 :: Qatar Grand Prix,2024,36,10,5,5,0.5,0.2777777777777778,64
MOA,2024 :: Saudi Arabian Grand Prix,2024,120,27,24,3,0.8888888888888888,0.225,65
MOA,2024 :: Singapore Grand Prix,2024,89,23,20,3,0.8695652173913043,0.25842696629213485,66
MOA,2024 :: Spanish Grand Prix,2024,150,36,31,5,0.8611111111111112,0.24,67
MOA,2024 :: São Paulo Grand Prix,2024,149,24,21,3,0.875,0.1610738255033557,68
MOA,2024 :: United States Grand Prix,2024,133,37,32,5,0.8648648648648649,0.2781954887218045,69
MOA,2025 :: Abu Dhabi Grand Prix,2025,259,55,51,4,0.9272727272727272,0.21235521235521235,70
MOA,2025 :: Australian Grand Prix,2025,63,16,13,3,0.8125,0.25396825396825395,71
MOA,2025 :: Austrian Grand Prix,2025,171,57,54,3,0.9473684210526315,0.3333333333333333,72
MOA,2025 :: Azerbaijan Grand Prix,2025,132,26,21,5,0.8076923076923077,0.19696969696969696,73
MOA,2025 :: Bahrain Grand Prix,2025,206,93,87,6,0.9354838709677419,0.45145631067961167,74
MOA,2025 :: Belgian Grand Prix,2025,249,66,49,17,0.7424242424242424,0.26506024096385544,75
MOA,2025 :: British Grand Prix,2025,173,28,27,1,0.9642857142857143,0.16184971098265896,76
MOA,2025 :: Canadian Grand Prix,2025,156,32,30,2,0.9375,0.20512820512820512,77
MOA,2025 :: Chinese Grand Prix,2025,130,14,12,2,0.8571428571428571,0.1076923076923077,78
MOA,2025 :: Dutch Grand Prix,2025,189,49,45,4,0.9183673469387755,0.25925925925925924,79
MOA,2025 :: Emilia Romagna Grand Prix,2025,145,26,22,4,0.8461538461538461,0.1793103448275862,80
MOA,2025 :: French Grand Prix,2025,13,5,4,1,0.8,0.38461538461538464,81
MOA,2025 :: Hungarian Grand Prix,2025,205,45,43,2,0.9555555555555556,0.21951219512195122,82
MOA,2025 :: Italian Grand Prix,2025,232,45,43,2,0.9555555555555556,0.1939655172413793,83
MOA,2025 :: Japanese Grand Prix,2025,80,29,25,4,0.8620689655172413,0.3625,84
MOA,2025 :: Las Vegas Grand Prix,2025,86,24,22,2,0.9166666666666666,0.27906976744186046,85
MOA,2025 :: Mexico City Grand Prix,2025,135,21,19,2,0.9047619047619048,0.15555555555555556,86
MOA,2025 :: Miami Grand Prix,2025,137,27,25,2,0.9259259259259259,0.19708029197080293,87
MOA,2025 :: Monaco Grand Prix,2025,126,25,22,3,0.88,0.1984126984126984,88
MOA,2025 :: Qatar Grand Prix,2025,137,37,29,8,0.7837837837837838,0.27007299270072993,89
MOA,2025 :: Saudi Arabian Grand Prix,2025,118,25,22,3,0.88,0.211864406779661,90
MOA,2025 :: Singapore Grand Prix,2025,82,25,21,4,0.84,0.3048780487804878,91
MOA,2025 :: Spanish Grand Prix,2025,221,64,58,6,0.90625,0.2895927601809955,92
MOA,2025 :: São Paulo Grand Prix,2025,161,29,27,2,0.9310344827586207,0.18012422360248448,93
MOA,2025 :: United States Grand Prix,2025,151,52,49,3,0.9423076923076923,0.3443708609271523,94
