model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,158,150,8,0.9493670886075949,0.9032787039549025,0.9741231746164177
ML_minus_SDE,-862,-599,-263,0.21505336311739887,,
