model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,248,210,38,0.8467741935483871,0.7966842073892084,0.8862851528004514
ML_minus_SDE,-772,-539,-233,0.1124604680581911,,
