policy_label,threshold,rows,predicted_positive,tp,fp,tn,fn,positive_rate,precision,recall,f1
constrained_policy,,123129,1814,284,1530,113348,7967,0.014732516304038854,0.1565600882028666,0.034420070294509754,0.05643318430203676
fixed_threshold_0.10,0.1,123129,13485,4362,9123,105755,3889,0.10951928465268133,0.32347052280311456,0.5286631923403223,0.40136179609863815
fixed_threshold_0.50,0.5,123129,1266,924,342,114536,7327,0.010281899471286212,0.7298578199052133,0.11198642588777118,0.19417883786907636
