window_id,start_idx,end_idx,rows,feature,importance_drop_f1,importance_std
w01,0,10272,10272,position,0.011906524345877245,0.0031801770647885324
w01,0,10272,10272,tyreLife,0.005910730042558954,0.004218014801873537
w01,0,10272,10272,trackTemp,0.018180709665107254,0.004018159859422154
w01,0,10272,10272,airTemp,0.02111071769765561,0.002363203844147521
w01,0,10272,10272,humidity,0.02296271193651127,0.004278924781499868
w01,0,10272,10272,speedTrap,0.0004261481082903362,0.0018142285808821518
w01,0,10272,10272,gapAhead,0.04334969380520587,0.0060466749842936224
w01,0,10272,10272,gapBehind,0.02675892578197451,0.00288750599987722
w01,0,10272,10272,lapTime,0.015201289553066922,0.0012906584293329551
w01,0,10272,10272,pitLoss,0.0006064421930525143,0.001810822139982291
w01,0,10272,10272,positions_lost,0.008104050180653721,0.0014119856626075443
w01,0,10272,10272,gap_to_physical_car,0.03945643583901483,0.002527145499076774
w01,0,10272,10272,has_drop_zone_data,0.0019624088038260657,0.0012630737914346658
w01,0,10272,10272,pace_drop_ratio,0.01369245895978093,0.0029990620148845327
w01,0,10272,10272,tire_life_ratio,0.029918903235662077,0.005572137969886733
w01,0,10272,10272,pace_trend,0.00491303680661741,0.001036045066701706
w01,0,10272,10272,gapAhead_trend,0.009062814926657892,0.0011252204265771327
w01,0,10272,10272,race_progress_pct,0.06340533892408397,0.007087525947217448
w01,0,10272,10272,lapTime_vs_driver_prev_mean_pct,0.015146435018753257,0.0007059260931497717
w01,0,10272,10272,lapTime_vs_team_prev_lapbucket_mean_pct,0.02162831235975656,0.005713578139231408
w02,10272,20545,10273,position,0.0022653733138724096,0.0021154706934005123
w02,10272,20545,10273,tyreLife,-0.0005077074645815805,0.0024640843188875965
w02,10272,20545,10273,trackTemp,0.011803391186746804,0.0019696823370143205
w02,10272,20545,10273,airTemp,-0.0005512630458125223,0.0009882826221783885
w02,10272,20545,10273,humidity,0.016921783922276723,0.003828714682130344
