feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
trackTemp,32.39466666666666,36.4625,4.06783333333334,0.5589993120952997,150,8
speedTrap,294.92,303.125,8.204999999999984,0.539142074398967,150,8
gapAhead,143.89143333333334,26.66975,-117.22168333333335,-0.5119408976058515,150,8
humidity,49.846666666666664,43.75,-6.096666666666664,-0.49300660842157445,150,8
tire_life_ratio,0.6793185185185185,0.5899305555555556,-0.08938796296296292,-0.3351112442426616,150,8
race_progress_pct,0.3953479785926389,0.4548415492957746,0.059493570703135656,0.3055191330005795,150,8
lapTime_vs_driver_prev_mean_pct,0.9861180317369572,0.9788232286289786,-0.007294803107978587,-0.1715890986547123,150,8
gapBehind,39.95210666666666,27.384125,-12.567981666666658,-0.13137243791566935,150,8
pace_drop_ratio,1.0126427600566463,1.0135332489942064,0.0008904889375600522,0.11324201584533,150,8
airTemp,22.74266666666667,23.1125,0.36983333333333235,0.08929759529492501,150,8
position,6.666666666666667,6.375,-0.29166666666666696,-0.06566621463599788,150,8
pitLoss,22.19,22.125,-0.06500000000000128,-0.06254712374713024,150,8
lapTime,91.60528666666666,90.998375,-0.6069116666666616,-0.03557394320100524,150,8
lapTime_vs_team_prev_lapbucket_mean_pct,0.981393859357944,0.9809989419657381,-0.0003949173922058735,-0.009943753668679136,150,8
