threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.05889763585971251,0.05885052102857821,0.0
0.02,0.04960288719016302,0.049246954916624924,0.0
0.03,0.040622863558342236,0.039445377132260234,0.0
0.04,0.03180051375650644,0.02943959981072127,0.0
0.05,0.023449924751038007,0.019223174545570973,0.0
0.060000000000000005,0.015637068136021774,0.00878937853009832,0.0
0.06999999999999999,0.00814901555443618,-0.0018688001953844763,0.0
0.08,0.0008693888707643621,-0.01275867845837779,0.0
0.09,-0.0057429895190998365,-0.02388789470517315,0.0
0.09999999999999999,-0.012172423894184187,-0.03526442686856397,0.0
0.11,-0.018581822407652576,-0.046896611440120875,0.0
0.12,-0.024809645839862823,-0.05879316384284951,0.0
0.13,-0.03086548390781288,-0.07096320020885928,0.0
0.14,-0.03669617465205889,-0.08341626067640416,0.0
0.15000000000000002,-0.042561465876149715,-0.09616233433142073,0.0
0.16,-0.048432173518362945,-0.10921188593060428,0.0
0.17,-0.05425816020113716,-0.1225758845562742,0.0
0.18000000000000002,-0.0600897260240094,-0.1362658343679361,0.0
0.19,-0.06577335125972994,-0.15029380763173772,0.0
0.2,-0.07127357533968769,-0.1646724802271345,0.0
0.21000000000000002,-0.07699981260380595,-0.1794151698502628,0.0
0.22,-0.08241943954781109,-0.19453587715603532,0.0
0.23,-0.08802935049132574,-0.2100493301061137,0.0
0.24000000000000002,-0.09302052535516446,-0.2259710318180363,0.0
0.25,-0.09837085107821267,-0.24231731224227676,0.0
0.26,-0.10445992534818332,-0.2591053840293346,0.0
0.27,-0.10960904315165726,-0.27635340298864053,0.0
0.28,-0.11458798080173058,-0.294080533585705,0.0
0.29000000000000004,-0.11961062664773883,-0.3123070199742361,0.0
0.3,-0.12442564533418317,-0.33105426311672514,0.0
0.31,-0.12882650137109505,-0.35034490461117046,0.0
0.32,-0.13349636751881852,-0.3702029179142759,0.0
0.33,-0.1372650033143954,-0.39065370773389196,0.0
0.34,-0.14123264689072845,-0.4117242184571328,0.0
0.35000000000000003,-0.14502597382337806,-0.4334430525872425,0.0
0.36000000000000004,-0.1474447373757859,-0.4558406002839182,0.0
0.37,-0.14981667648469515,-0.4789491812408057,0.0
0.38,-0.15199822060564827,-0.5028032002930768,0.0
0.39,-0.15498336053937783,-0.5274393183306683,0.0
0.4,-0.15831812343676066,-0.5528966403028461,0.0
0.41000000000000003,-0.1603147159616264,-0.5792169223418774,0.0
0.42000000000000004,-0.16109483283099887,-0.6064448003132891,0.0
0.43,-0.1631105750586159,-0.6346280424240484,0.0
0.44,-0.163988759162152,-0.6638178288959065,0.0
0.45,-0.16435537692889138,-0.6940690621485592,0.0
0.46,-0.1656654423638808,-0.7254407114476067,0.0
0.47000000000000003,-0.16583034556119736,-0.7579961965692597,0.0
0.48000000000000004,-0.16624182955555902,-0.7918038157340531,0.0
0.49,-0.1666113941013436,-0.8269372238857011,0.0
0.5,-0.16670046643682823,-0.8634759683634152,0.0
