rank,model_id,family,supports_tree_shap,fidelity_accuracy,fidelity_f1,fidelity_precision,fidelity_recall,fidelity_balanced_accuracy,selected
1,rf_300_d12,RandomForestClassifier,1,0.7650375177448794,0.2861367837338262,0.18050373134328357,0.6898395721925134,0.7301931623804288,1
2,rf_100_d10,RandomForestClassifier,1,0.7200162238896776,0.2621058257616248,0.15980187695516163,0.7284610814022578,0.7239293044134744,0
3,extra_300_d12,ExtraTreesClassifier,1,0.6832285540458325,0.24846035411855275,0.1482374555057986,0.7670825906120023,0.7220838688738229,0
4,logreg_balanced,LogisticRegression+Imputer+Scaler,0,0.6068140336645711,0.1900066844919786,0.11054934370442392,0.6755793226381461,0.6386776989300778,0
5,hgb_400_d8,HistGradientBoostingClassifier,0,0.9325086189413911,0.0867178924259056,0.5683453237410072,0.046939988116458706,0.5221640563949871,0
