protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.41463423945417344,0.4145791733726914,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.40495808121330407,0.40620866024686675,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.26509029383636395,0.26488606095668465,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.22913149070492916,0.23223226945049927,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.42468132909573464,0.4245154733759353,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.4157753472704357,0.4172786858733613,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.4840524881932937,0.48392764720977643,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.4721522008233437,0.47380039316866535,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.39255264253339966,0.3924950832406297,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.38054432004827266,0.3820721970835107,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.07677638590349549,0.07590761088318941,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.07727600215335852,0.07711062581715115,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.26509029383636395,0.26488606095668465,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.22913149070492916,0.23223226945049927,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.42468132909573464,0.4245154733759353,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.4157753472704357,0.4172786858733613,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.4840524881932937,0.48392764720977643,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.4721522008233437,0.47380039316866535,0.08808848980410845,39869,3512
