paradigm,comparison_mode,actionable,scored,excluded,tp,fp,precision,eval_instances,accuracy_pct,kappa_pct,source_artifact,notes
SDE,full_h2_actionable_one_to_one,6323,1020,5303,749,271,0.734313725490196,,,,data_lake/reports/heuristic_comparator_2022_2025_merged.csv,direct comparator metrics under fixed H=2 contract
ML_BATCH,full_h2_actionable_one_to_one,823,505,318,485,20,0.9603960396039604,,,,data_lake/reports/ml_comparator_2022_2025_merged.csv,direct comparator metrics under fixed H=2 contract
MOA_ARF_DECISION,full_h2_actionable_one_to_one,4266,1160,3106,1062,98,0.9155172413793103,,,,data_lake/reports/moa_comparator_2022_2025_merged.csv,direct comparator metrics under fixed H=2 contract from decoded MOA decisions
MOA_ARF,prequential_stream_baseline,,,,,,,124136.0,90.86808017013598,14.295676633430126,data_lake/reports/moa_arf_summary_2022_2025_merged.csv,"prequential stream metrics, not yet mapped to comparator semantics; use as baseline until MOA decision mapping is added"
