model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,595,561,34,0.9428571428571428,0.9212097778460305,0.9588228121450292
ML_minus_SDE,-425,-188,-237,0.20854341736694681,,
