year,total_events,ok_events,failed_events,availability_pct,p50_total_ms,p95_total_ms,p99_total_ms
2022,525,525,0,100.0,3.109229000074265,5.979689999912806,15.346094540400372
2023,693,693,0,100.0,3.120888000012201,5.271443000128784,10.578488400351501
2024,808,808,0,100.0,3.0953939999562863,5.975787999886961,13.305159949550145
2025,974,974,0,100.0,3.1039639998198254,5.064645350421407,13.732725569816454
