model,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,moa_final_accuracy_percent,moa_final_kappa_percent,moa_avg_cpu_ms_per_instance
SDE Heuristic,6323,1020,5303,749,271,0.734313725490196,0.16131583109283568,0.11845642891032737,,,
Batch ML (Constrained),1016,595,421,561,34,0.9428571428571428,0.5856299212598425,0.5521653543307087,,,
Batch ML (Best Threshold),33386,3734,29652,3151,583,0.8438671665773969,0.11184328760558318,0.09438087821242437,,,
MOA Streaming,6453,1430,5023,1293,137,0.9041958041958041,0.22160235549356888,0.200371920037192,89.44705806534769,13.69690950814679,0.2609870881533157
