rank,model_id,family,supports_tree_shap,fidelity_accuracy,fidelity_f1,fidelity_precision,fidelity_recall,fidelity_balanced_accuracy,selected
1,rf_300_d12,RandomForestClassifier,1,0.7767723085663272,0.23009097270818754,0.14041680901947387,0.6367157242447715,0.7106154845958356,1
2,rf_100_d10,RandomForestClassifier,1,0.728117518159315,0.20728821580690962,0.1223292836196062,0.6785437645236251,0.7047009675649986,0
3,extra_300_d12,ExtraTreesClassifier,1,0.6810453272734651,0.20089467263115088,0.11562317144528965,0.7652982184353214,0.7208428399473626,0
4,logreg_balanced,LogisticRegression+Imputer+Scaler,0,0.6134399220874082,0.15354540607783898,0.08672086720867209,0.6692486444616577,0.6398016089728638,0
5,hgb_400_d8,HistGradientBoostingClassifier,0,0.9484234874000731,0.09794180269694819,0.5847457627118644,0.053446940356312936,0.5256743095066937,0
