threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2023,5651,528,425,103,0.8049242424242424,0.09343479030260131,0.07520792780038932
0.05,2024,12520,1324,1117,207,0.8436555891238671,0.10575079872204472,0.08921725239616614
0.05,2025,15215,1882,1609,273,0.8549415515409139,0.12369372329937561,0.10575090371344069
0.075,2023,2387,312,255,57,0.8173076923076923,0.13070800167574362,0.106828655215752
0.075,2024,7169,1111,969,142,0.8721872187218722,0.1549727995536337,0.13516529502022598
0.075,2025,11602,1776,1531,245,0.8620495495495496,0.15307705568005517,0.13196000689536286
0.1,2023,1138,218,186,32,0.8532110091743119,0.19156414762741653,0.1634446397188049
0.1,2024,5285,1010,887,123,0.8782178217821782,0.19110690633869443,0.16783349101229897
0.1,2025,8841,1641,1445,196,0.8805606337599025,0.1856124872751951,0.16344304942879764
0.125,2023,896,194,166,28,0.8556701030927835,0.21651785714285715,0.18526785714285715
0.125,2024,4169,928,821,107,0.884698275862069,0.2225953466059007,0.19692971935716
0.125,2025,7324,1552,1372,180,0.884020618556701,0.21190606226105954,0.18732932823593665
0.15,2023,680,175,153,22,0.8742857142857143,0.25735294117647056,0.225
0.15,2024,3501,869,772,97,0.8883774453394706,0.2482147957726364,0.22050842616395316
0.15,2025,6408,1467,1307,160,0.89093387866394,0.22893258426966293,0.20396379525593009
0.175,2023,613,170,149,21,0.8764705882352941,0.27732463295269166,0.24306688417618272
0.175,2024,2963,801,721,80,0.9001248439450686,0.27033412082348973,0.243334458319271
0.175,2025,5412,1369,1226,143,0.8955441928414901,0.2529563932002956,0.22653362897265336
0.2,2023,495,153,135,18,0.8823529411764706,0.3090909090909091,0.2727272727272727
0.2,2024,2603,751,678,73,0.9027962716378163,0.2885132539377641,0.26046868997310796
0.2,2025,4844,1313,1179,134,0.897943640517898,0.27105697770437653,0.24339388934764658
0.22499999999999998,2023,405,140,128,12,0.9142857142857143,0.345679012345679,0.3160493827160494
0.22499999999999998,2024,2272,702,636,66,0.905982905982906,0.3089788732394366,0.27992957746478875
0.22499999999999998,2025,4366,1259,1130,129,0.897537728355838,0.28836463582226296,0.2588181401740724
0.25,2023,374,133,122,11,0.9172932330827067,0.35561497326203206,0.32620320855614976
0.25,2024,2103,676,613,63,0.9068047337278107,0.3214455539705183,0.2914883499762244
0.25,2025,3983,1206,1087,119,0.9013266998341625,0.30278684408737133,0.2729098669344715
0.27499999999999997,2023,293,113,104,9,0.9203539823008849,0.3856655290102389,0.35494880546075086
0.27499999999999997,2024,1942,646,593,53,0.9179566563467493,0.33264675592173015,0.30535530381050463
0.27499999999999997,2025,3544,1154,1042,112,0.902946273830156,0.32562076749435664,0.29401805869074493
0.3,2023,268,108,100,8,0.9259259259259259,0.40298507462686567,0.373134328358209
0.3,2024,1796,611,560,51,0.9165302782324058,0.34020044543429845,0.311804008908686
0.3,2025,3255,1102,1001,101,0.9083484573502723,0.3385560675883256,0.30752688172043013
0.32499999999999996,2023,216,95,87,8,0.9157894736842105,0.4398148148148148,0.4027777777777778
0.32499999999999996,2024,1628,569,526,43,0.9244288224956063,0.3495085995085995,0.3230958230958231
0.32499999999999996,2025,2947,1049,952,97,0.9075309818875119,0.35595520868680014,0.32304038004750596
0.35,2023,194,89,82,7,0.9213483146067416,0.4587628865979381,0.422680412371134
0.35,2024,1434,524,489,35,0.933206106870229,0.36541143654114366,0.3410041841004184
0.35,2025,2657,979,890,89,0.9090909090909091,0.3684606699284908,0.33496424538953706
0.37499999999999994,2023,189,86,79,7,0.9186046511627907,0.455026455026455,0.41798941798941797
0.37499999999999994,2024,1249,487,459,28,0.9425051334702259,0.3899119295436349,0.36749399519615694
0.37499999999999994,2025,2451,932,847,85,0.9087982832618026,0.3802529579763362,0.34557323541411666
0.39999999999999997,2023,184,86,79,7,0.9186046511627907,0.4673913043478261,0.42934782608695654
0.39999999999999997,2024,1207,478,450,28,0.9414225941422594,0.396023198011599,0.3728251864125932
0.39999999999999997,2025,2280,895,816,79,0.911731843575419,0.3925438596491228,0.35789473684210527
0.42499999999999993,2023,153,74,68,6,0.918918918918919,0.48366013071895425,0.4444444444444444
0.42499999999999993,2024,1069,442,416,26,0.9411764705882353,0.41347053320860616,0.3891487371375117
0.42499999999999993,2025,2116,841,768,73,0.9131985731272295,0.39744801512287337,0.3629489603024575
0.44999999999999996,2023,144,72,67,5,0.9305555555555556,0.5,0.4652777777777778
0.44999999999999996,2024,887,410,386,24,0.9414634146341463,0.46223224351747466,0.4351747463359639
0.44999999999999996,2025,1887,790,725,65,0.9177215189873418,0.41865394806571277,0.3842077371489136
0.475,2023,133,71,66,5,0.9295774647887324,0.5338345864661654,0.49624060150375937
0.475,2024,823,387,367,20,0.9483204134366925,0.47023086269744835,0.4459295261239368
0.475,2025,1661,718,662,56,0.9220055710306406,0.43226971703792894,0.39855508729680916
0.49999999999999994,2023,132,71,66,5,0.9295774647887324,0.5378787878787878,0.5
