policy_label,threshold,rows,predicted_positive,tp,fp,tn,fn,positive_rate,precision,recall,f1
constrained_policy,,103015,1016,816,200,95090,6909,0.009862641362908315,0.8031496062992126,0.10563106796116505,0.1867063265072646
fixed_threshold_0.10,0.1,103015,15264,4355,10909,84381,3370,0.1481725962238509,0.2853118448637317,0.5637540453074433,0.3788768541476359
fixed_threshold_0.50,0.5,103015,2492,1619,873,94417,6106,0.024190651846818425,0.6496789727126806,0.20957928802588996,0.3169227757658804
