year,rows,positive_rows,prevalence,raw_brier,calibrated_brier,raw_ece,calibrated_ece,raw_mce,calibrated_mce,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,mean_constrained_threshold,fallback_rows
2023,29907,1600,0.05349918079379409,0.07324152823419235,0.04689275703286662,0.086491186114537,0.016240590900627187,0.5717842859276653,0.2008645260050297,0.0030427659076470394,0.9340659340659341,0.053125,0.10053222945002957,0.7772427859698399,0
2024,33239,2613,0.07861247329943741,0.17459616489102506,0.05854838257655081,0.29070842585263323,0.006446249938211541,0.5542537613437937,0.1064540273094634,0.007070008122988056,0.8723404255319149,0.07845388442403368,0.14396067415730338,0.8160811095399982,0
2025,39869,3512,0.08808848980410845,0.22651743914631048,0.06109172988955179,0.368518591452469,0.00780658510709954,0.5771963251782168,0.14214470893466014,0.01730667937495297,0.7623188405797101,0.14977220956719817,0.25035697287006187,0.7808425092176879,0
