feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
tire_life_ratio,0.6265399088928502,0.5418137254901962,-0.08472618340265392,-0.29651706038302794,561,34
gapBehind,45.29824420677362,20.263323529411764,-25.034920677361853,-0.23232812623669127,561,34
humidity,55.618538324420676,52.911764705882355,-2.706773618538321,-0.21589509635374893,561,34
gapAhead,132.2937878787879,74.14579411764706,-58.14799376114084,-0.21291875211187886,561,34
speedTrap,298.93939393939394,301.70588235294116,2.766488413547222,0.18859774410804334,561,34
position,7.686274509803922,7.117647058823529,-0.5686274509803928,-0.11517160769440105,561,34
pace_drop_ratio,1.0124840106218678,1.0106557728727967,-0.0018282377490710378,-0.09835193796738413,561,34
pitLoss,22.328877005347593,22.38235294117647,0.05347593582887811,0.05755620101703402,561,34
airTemp,22.22263814616756,22.47647058823529,0.25383244206772915,0.05703703614348724,561,34
lapTime,90.7161568627451,91.29170588235294,0.5755490196078483,0.040234679640013475,561,34
trackTemp,32.15080213903743,32.14117647058824,-0.009625668449189106,-0.0013029905242655964,561,34
