policy_label,threshold,rows,predicted_positive,tp,fp,tn,fn,positive_rate,precision,recall,f1
constrained_policy,,124136,823,648,175,115665,7648,0.006629825352838822,0.787363304981774,0.0781099324975892,0.14212084658405527
fixed_threshold_0.10,0.1,124136,24005,5992,18013,97827,2304,0.1933766191918541,0.24961466361174756,0.7222757955641272,0.3710101854431751
fixed_threshold_0.50,0.5,124136,3199,1956,1243,114597,6340,0.025770123090803634,0.6114410753360425,0.23577627772420442,0.34032187907786
