model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,522,501,21,0.9597701149425287,0.939283816690991,0.9735388448703418
ML_minus_SDE,-498,-248,-250,0.2254563894523327,,
