model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,1016,595,561,34,0.9428571428571428,0.05714285714285714,403
MOA,6453,1430,1293,137,0.9041958041958041,0.0958041958041958,4835
