model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
Batch,excluded_no_match,near_miss_3_5,2025 :: Bahrain Grand Prix,ALO,38,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
Batch,excluded_no_match,unexpected_within_horizon,2025 :: Bahrain Grand Prix,OCO,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
Batch,excluded_no_match,near_miss_3_5,2025 :: United States Grand Prix,RIC,19,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,no_future,2022 :: French Grand Prix,NOR,32,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2022 :: Monaco Grand Prix,ZHO,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,scored_fp,fp_scored,2022 :: Saudi Arabian Grand Prix,GAS,13,0,nan,2.0,,,
MOA,excluded_no_match,near_miss_3_5,2022 :: Spanish Grand Prix,VER,8,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Abu Dhabi Grand Prix,GAS,21,EXCLUDED,NO_MATCH_WITHIN_HORIZON,11.0,,,
MOA,excluded_no_match,no_future,2023 :: Saudi Arabian Grand Prix,OCO,30,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Mexico City Grand Prix,VER,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Austrian Grand Prix,HAM,29,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
MOA,excluded_no_match,no_future,2025 :: Hungarian Grand Prix,BOT,56,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Mexico City Grand Prix,HAM,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,10.0,,,
MOA,excluded_no_match,no_future,2025 :: Mexico City Grand Prix,NOR,49,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,no_future,2025 :: Saudi Arabian Grand Prix,DEV,25,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Saudi Arabian Grand Prix,STR,20,EXCLUDED,NO_MATCH_WITHIN_HORIZON,19.0,,,
SDE,excluded_no_match,unexpected_within_horizon,2022 :: Abu Dhabi Grand Prix,PER,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
SDE,excluded_no_match,no_future,2022 :: Canadian Grand Prix,MAG,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: São Paulo Grand Prix,ALO,48,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: São Paulo Grand Prix,LAT,46,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,scored_fp,fp_scored,2023 :: São Paulo Grand Prix,STR,27,0,nan,2.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Bahrain Grand Prix,HUL,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,scored_fp,fp_scored,2024 :: Canadian Grand Prix,BOT,36,0,nan,0.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Emilia Romagna Grand Prix,RUS,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Monaco Grand Prix,STR,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,no_future,2025 :: Azerbaijan Grand Prix,VET,40,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2025 :: French Grand Prix,ZHO,36,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Hungarian Grand Prix,LAT,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,unexpected_within_horizon,2025 :: Italian Grand Prix,NOR,32,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: São Paulo Grand Prix,LAT,28,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
