source_year,race,rows,positives,mean_proba,unconstrained_fire_rate,constrained_fire_rate,baseline_fire_rate
2022,2022 :: Abu Dhabi Grand Prix,1086,28,0.06368899036963444,0.06906077348066299,0.0009208103130755065,0.01565377532228361
2022,2022 :: Australian Grand Prix,856,18,0.01857803489617861,0.010514018691588784,0.0,0.0011682242990654205
2022,2022 :: Austrian Grand Prix,1267,46,0.017223172502361567,0.006314127861089187,0.0007892659826361484,0.0023677979479084454
2022,2022 :: Azerbaijan Grand Prix,812,29,0.01308525520178818,0.003694581280788177,0.0,0.0012315270935960591
2022,2022 :: Bahrain Grand Prix,1007,45,0.0547890957260872,0.06554121151936444,0.007944389275074478,0.021847070506454815
2022,2022 :: Belgian Grand Prix,719,26,0.027468056309157322,0.022253129346314324,0.0013908205841446453,0.004172461752433936
2022,2022 :: British Grand Prix,749,15,0.022683687883195098,0.020026702269692925,0.0,0.0013351134846461949
2022,2022 :: Canadian Grand Prix,1092,19,0.0054319489329858785,0.0,0.0,0.0
2022,2022 :: Dutch Grand Prix,1268,49,0.02011526222806478,0.003943217665615142,0.0,0.0
2022,2022 :: Emilia Romagna Grand Prix,1057,22,0.006676562266810934,0.011352885525070956,0.0,0.000946073793755913
2022,2022 :: French Grand Prix,877,18,0.013572649648270454,0.014823261117445839,0.002280501710376283,0.004561003420752566
2022,2022 :: Hungarian Grand Prix,1288,34,0.01771113553359821,0.003105590062111801,0.0,0.0007763975155279503
2022,2022 :: Italian Grand Prix,835,30,0.01079612304961676,0.0023952095808383233,0.0,0.0
2022,2022 :: Japanese Grand Prix,415,2,0.006858806285604701,0.0,0.0,0.0
2022,2022 :: Mexico City Grand Prix,1331,16,0.030987741174655102,0.018031555221637866,0.0,0.002253944402704733
2022,2022 :: Miami Grand Prix,930,25,0.024023786607359307,0.015053763440860216,0.0,0.001075268817204301
2022,2022 :: Monaco Grand Prix,1066,18,0.008011671149441072,0.0,0.0,0.0
2022,2022 :: Saudi Arabian Grand Prix,682,20,0.00701285909845752,0.0,0.0,0.0
2022,2022 :: Singapore Grand Prix,701,11,0.004582821076632509,0.0,0.0,0.0
2022,2022 :: Spanish Grand Prix,1212,44,0.005008606131730344,0.0008250825082508251,0.0,0.0
2022,2022 :: São Paulo Grand Prix,1030,22,0.028106965336510886,0.02621359223300971,0.0,0.003883495145631068
2022,2022 :: United States Grand Prix,841,34,0.027907112530140082,0.023781212841854936,0.0011890606420927466,0.0047562425683709865
2023,2023 :: Abu Dhabi Grand Prix,1297,95,0.08942555604624135,0.09483423284502698,0.0038550501156515036,0.023901310717039322
2023,2023 :: Australian Grand Prix,1206,27,0.03790770006656401,0.014925373134328358,0.0008291873963515755,0.003316749585406302
2023,2023 :: Austrian Grand Prix,1583,111,0.08054976706191562,0.11244472520530638,0.012002526847757423,0.029058749210360075
2023,2023 :: Azerbaijan Grand Prix,1110,57,0.03408418703136612,0.006306306306306306,0.0,0.0
2023,2023 :: Bahrain Grand Prix,1214,129,0.0270060931239116,0.01729818780889621,0.0,0.005766062602965404
2023,2023 :: Belgian Grand Prix,938,83,0.10909568394158835,0.17164179104477612,0.02025586353944563,0.04797441364605544
2023,2023 :: British Grand Prix,1146,60,0.06577664537363206,0.07853403141361257,0.004363001745200698,0.027050610820244327
2023,2023 :: Canadian Grand Prix,1487,69,0.04941503969714215,0.03765971755211836,0.0013449899125756557,0.008742434431741762
2023,2023 :: Dutch Grand Prix,1596,110,0.06427501517461764,0.05889724310776942,0.002506265664160401,0.015037593984962405
2023,2023 :: Emilia Romagna Grand Prix,1057,22,0.02133417530259688,0.02554399243140965,0.007568590350047304,0.015137180700094607
2023,2023 :: French Grand Prix,877,18,0.02168817605120207,0.02280501710376283,0.011402508551881414,0.01596351197263398
2023,2023 :: Hungarian Grand Prix,1553,101,0.09257052287859475,0.128783000643915,0.0019317450096587251,0.05537669027688345
2023,2023 :: Italian Grand Prix,1168,72,0.08723681206421838,0.08818493150684932,0.004280821917808219,0.021404109589041095
2023,2023 :: Japanese Grand Prix,934,38,0.04794740319337992,0.05139186295503212,0.0021413276231263384,0.007494646680942184
2023,2023 :: Las Vegas Grand Prix,790,18,0.042134287678942485,0.0379746835443038,0.0,0.005063291139240506
2023,2023 :: Mexico City Grand Prix,1579,66,0.052990151142437616,0.06333122229259025,0.0018999366687777073,0.01266624445851805
2023,2023 :: Miami Grand Prix,1316,61,0.07563864387310736,0.0737082066869301,0.0,0.00303951367781155
2023,2023 :: Monaco Grand Prix,1717,56,0.02330248066537761,0.0,0.0,0.0
2023,2023 :: Qatar Grand Prix,944,26,0.022693345637814173,0.011652542372881356,0.0,0.0
2023,2023 :: Saudi Arabian Grand Prix,957,60,0.02186152254077732,0.0041797283176593526,0.0,0.0
2023,2023 :: Singapore Grand Prix,1231,44,0.04507371577734468,0.02924451665312754,0.0016246953696181965,0.003249390739236393
2023,2023 :: Spanish Grand Prix,1554,105,0.08707652435873416,0.13513513513513514,0.0,0.007078507078507079
2023,2023 :: São Paulo Grand Prix,1456,78,0.038379297945043446,0.038461538461538464,0.0,0.008241758241758242
