rank,model_id,family,supports_tree_shap,fidelity_accuracy,fidelity_f1,fidelity_precision,fidelity_recall,fidelity_balanced_accuracy,selected
1,rf_300_d12,RandomForestClassifier,1,0.7973689536531067,0.236890243902439,0.1484524264424914,0.5859728506787331,0.6976658384879186,1
2,rf_100_d10,RandomForestClassifier,1,0.736166767860757,0.20917253093909247,0.12463851937536148,0.6500754147812972,0.6955625373662677,0
3,extra_300_d12,ExtraTreesClassifier,1,0.6591378263509411,0.18582616262206322,0.10657646667406011,0.72473604826546,0.6900766515333887,0
4,logreg_balanced,LogisticRegression+Imputer+Scaler,0,0.5669702489374621,0.13264147883898167,0.07430959302325581,0.6168929110105581,0.5905158340073535,0
5,hgb_400_d8,HistGradientBoostingClassifier,0,0.9465290427039061,0.03646973012399708,0.5555555555555556,0.01885369532428356,0.5089991133706836,0
