model,race,year,actionable,scored,tp,fp,precision,coverage,race_index
MOA,2022 :: Bahrain Grand Prix,2022,149,20,15,5,0.75,0.1342281879194631,5
MOA,2022 :: Belgian Grand Prix,2022,5,3,3,0,1.0,0.6,6
MOA,2022 :: British Grand Prix,2022,11,3,2,1,0.6666666666666666,0.2727272727272727,7
MOA,2022 :: Canadian Grand Prix,2022,16,0,0,0,,0.0,8
MOA,2022 :: Dutch Grand Prix,2022,38,8,4,4,0.5,0.21052631578947367,9
MOA,2022 :: Emilia Romagna Grand Prix,2022,25,8,8,0,1.0,0.32,10
MOA,2022 :: French Grand Prix,2022,10,4,0,4,0.0,0.4,11
MOA,2022 :: Hungarian Grand Prix,2022,32,8,7,1,0.875,0.25,12
MOA,2022 :: Italian Grand Prix,2022,15,1,1,0,1.0,0.06666666666666667,13
MOA,2022 :: Japanese Grand Prix,2022,2,0,0,0,,0.0,14
MOA,2022 :: Mexico City Grand Prix,2022,10,3,2,1,0.6666666666666666,0.3,15
MOA,2022 :: Miami Grand Prix,2022,11,1,1,0,1.0,0.09090909090909091,16
MOA,2022 :: Monaco Grand Prix,2022,20,2,0,2,0.0,0.1,17
MOA,2022 :: Saudi Arabian Grand Prix,2022,35,4,3,1,0.75,0.11428571428571428,18
MOA,2022 :: Singapore Grand Prix,2022,4,0,0,0,,0.0,19
MOA,2022 :: Spanish Grand Prix,2022,48,10,9,1,0.9,0.20833333333333334,20
MOA,2022 :: São Paulo Grand Prix,2022,36,7,4,3,0.5714285714285714,0.19444444444444445,21
MOA,2022 :: United States Grand Prix,2022,12,5,4,1,0.8,0.4166666666666667,22
MOA,2023 :: Abu Dhabi Grand Prix,2023,37,17,14,3,0.8235294117647058,0.4594594594594595,23
MOA,2023 :: Australian Grand Prix,2023,16,5,4,1,0.8,0.3125,24
MOA,2023 :: Austrian Grand Prix,2023,59,20,18,2,0.9,0.3389830508474576,25
MOA,2023 :: Azerbaijan Grand Prix,2023,18,5,5,0,1.0,0.2777777777777778,26
MOA,2023 :: Bahrain Grand Prix,2023,101,28,25,3,0.8928571428571429,0.27722772277227725,27
MOA,2023 :: Belgian Grand Prix,2023,23,6,6,0,1.0,0.2608695652173913,28
MOA,2023 :: British Grand Prix,2023,82,11,9,2,0.8181818181818182,0.13414634146341464,29
MOA,2023 :: Canadian Grand Prix,2023,6,3,3,0,1.0,0.5,30
