feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,95,0.8305614035087718,0.675,0.4397176089995794,0.43333333333333335,1.7166666666666714
tire_life_ratio,FP,7,0.5404761904761906,0.5333333333333333,0.14249955245185716,0.37333333333333335,0.7133333333333333
pace_drop_ratio,TP,95,1.0110666443701786,1.0089010829801874,0.008688513792989046,1.0021435659940456,1.019858149867987
pace_drop_ratio,FP,7,1.011998851245931,1.0135932290330854,0.00877179665273676,1.001303062869425,1.0216605857656937
lapTime,TP,95,84.5641894736842,78.0,13.932141126334447,70.62440000000001,101.8404
lapTime,FP,7,81.22528571428572,76.589,10.301327788400956,71.247,93.14
trackTemp,TP,95,30.889473684210532,31.0,5.696545096703893,24.46,35.78000000000001
trackTemp,FP,7,32.17142857142857,31.2,3.4751009381904643,28.5,36.839999999999996
airTemp,TP,95,21.656842105263163,22.4,3.925668635815706,17.3,27.16
airTemp,FP,7,24.97142857142857,22.8,4.840517766200012,20.42,31.5
humidity,TP,95,55.463157894736845,53.0,11.572026639876727,42.8,68.0
humidity,FP,7,56.714285714285715,53.0,17.604498497456234,39.0,75.4
speedTrap,TP,95,297.42105263157896,297.0,10.501708078983022,287.0,309.6
speedTrap,FP,7,300.0,302.0,6.824326235712107,290.4,306.2
gapAhead,TP,95,257.4110842105263,22.924,389.9134620639402,1.5066000000000002,999.0
gapAhead,FP,7,64.01514285714286,6.013,77.99956209662531,2.2688,182.1104
gapBehind,TP,95,54.251821052631584,7.786,84.8079580379576,0.6716000000000001,183.59340000000003
gapBehind,FP,7,196.2804285714286,11.166,335.7711110409492,3.13,512.3526000000003
position,TP,95,5.136842105263158,3.0,4.506394348889235,1.0,11.600000000000009
position,FP,7,7.142857142857143,4.0,5.642405045180428,2.6,15.000000000000002
pitLoss,TP,95,21.973684210526315,21.5,1.0294822946577813,21.0,23.5
pitLoss,FP,7,21.642857142857142,21.5,0.6388765649999398,21.0,22.5
