feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
tire_life_ratio,0.8305614035087718,0.5404761904761906,-0.2900852130325813,-0.8875264743885358,95,7
airTemp,21.656842105263163,24.97142857142857,3.3145864661654088,0.7521360924177124,95,7
gapAhead,257.4110842105263,64.01514285714286,-193.39594135338348,-0.6878184802673082,95,7
gapBehind,54.251821052631584,196.2804285714286,142.028607518797,0.5799873607489596,95,7
position,5.136842105263158,7.142857142857143,2.0060150375939854,0.3928670974875929,95,7
pitLoss,21.973684210526315,21.642857142857142,-0.3308270676691727,-0.386147689324546,95,7
speedTrap,297.42105263157896,300.0,2.5789473684210407,0.29120921103698333,95,7
lapTime,84.5641894736842,81.22528571428572,-3.3389037593984767,-0.27251957736784993,95,7
trackTemp,30.889473684210532,32.17142857142857,1.2819548872180384,0.27169162648743717,95,7
pace_drop_ratio,1.0110666443701786,1.011998851245931,0.0009322068757524615,0.10677888853632915,95,7
humidity,55.463157894736845,56.714285714285715,1.25112781954887,0.08398626530175533,95,7
