window_id,start_idx,end_idx,rows,feature,importance_drop_f1,importance_std
w01,0,10293,10293,position,0.06559889278314637,0.0016243547954559547
w01,0,10293,10293,tyreLife,0.05513646516762716,0.003387598459396295
w01,0,10293,10293,gapAhead,0.10237380254647835,0.00909975396566461
w01,0,10293,10293,gapBehind,0.07120527857877498,0.0053847375540222965
w01,0,10293,10293,pitLoss,0.052340309278486985,0.005396134729603352
w01,0,10293,10293,positions_lost,0.017854479405022983,0.002386024042489024
w01,0,10293,10293,gap_to_physical_car,0.06657724544462738,0.006875979765290099
w01,0,10293,10293,has_drop_zone_data,0.00353286119037064,0.0015760521570857024
w01,0,10293,10293,pace_drop_ratio,0.0655936284862534,0.008711510315920476
w01,0,10293,10293,tire_life_ratio,0.09020383020812292,0.0032674351085441897
w01,0,10293,10293,pace_trend,0.03982042875555271,0.006052658493888173
w01,0,10293,10293,gapAhead_trend,0.031734973180446956,0.003663570733386227
w01,0,10293,10293,trackTemp_expanding_z,0.05831320669275376,0.008394195053194985
w01,0,10293,10293,airTemp_expanding_z,0.0842604520729502,0.00590651261297325
w01,0,10293,10293,humidity_expanding_z,0.11051069264265165,0.011282994321513804
w01,0,10293,10293,speedTrap_expanding_z,0.03825612151668395,0.005321003027701204
w01,0,10293,10293,lapTime_expanding_z,0.09868113005020743,0.010587903846591779
w02,10293,20587,10294,position,0.03772495064468633,0.006130634295099832
w02,10293,20587,10294,tyreLife,0.010916139713180279,0.004667871262021662
w02,10293,20587,10294,gapAhead,0.044739451492349286,0.007595637281607808
w02,10293,20587,10294,gapBehind,0.026463355206036036,0.005846337214184266
w02,10293,20587,10294,pitLoss,0.014288176023067922,0.005266075767544878
w02,10293,20587,10294,positions_lost,0.003381795115319969,0.0017340323850292526
w02,10293,20587,10294,gap_to_physical_car,0.020291767474129956,0.005557663334153363
w02,10293,20587,10294,has_drop_zone_data,0.00022158518904044077,0.001247527231507273
w02,10293,20587,10294,pace_drop_ratio,0.027985181399990337,0.004911846574845958
w02,10293,20587,10294,tire_life_ratio,0.04576154963479894,0.006782837944625097
w02,10293,20587,10294,pace_trend,0.011401557181800654,0.003054667784423386
w02,10293,20587,10294,gapAhead_trend,0.012960185381833328,0.0029561850296465487
w02,10293,20587,10294,trackTemp_expanding_z,0.05753368557320815,0.004531137221812134
w02,10293,20587,10294,airTemp_expanding_z,0.025587057359018082,0.005064045870577501
w02,10293,20587,10294,humidity_expanding_z,0.051740050218067046,0.007354054521224835
w02,10293,20587,10294,speedTrap_expanding_z,0.013252303429200429,0.004725411563530889
w02,10293,20587,10294,lapTime_expanding_z,0.025934795823317452,0.0031395885511504742
w03,20587,30881,10294,position,0.024154346157167383,0.0027134441655238453
w03,20587,30881,10294,tyreLife,0.003685328146167288,0.0033644695114173596
w03,20587,30881,10294,gapAhead,0.026306204736588068,0.004428408857458493
w03,20587,30881,10294,gapBehind,0.03500447339806399,0.004655126088050859
w03,20587,30881,10294,pitLoss,0.01749682110699031,0.0025261499287586725
w03,20587,30881,10294,positions_lost,0.0013201535164467759,0.0019201570435945646
w03,20587,30881,10294,gap_to_physical_car,0.023248448629943998,0.0020370598173010163
w03,20587,30881,10294,has_drop_zone_data,-0.000892515273125205,0.0007269241999524223
w03,20587,30881,10294,pace_drop_ratio,0.009852151285462208,0.0038352923645186636
w03,20587,30881,10294,tire_life_ratio,0.028922790129236688,0.003408574522312592
w03,20587,30881,10294,pace_trend,0.011063854369449455,0.0027285066961748243
w03,20587,30881,10294,gapAhead_trend,0.012979895969867173,0.0018118843229298714
w03,20587,30881,10294,trackTemp_expanding_z,0.030533518815969225,0.003235439489392422
w03,20587,30881,10294,airTemp_expanding_z,0.01269472707603514,0.0018723856456717158
w03,20587,30881,10294,humidity_expanding_z,0.032308094546208435,0.006946728570451214
w03,20587,30881,10294,speedTrap_expanding_z,0.013683559803268797,0.0029617802705168743
w03,20587,30881,10294,lapTime_expanding_z,0.04026410786722704,0.006471758805515722
w04,30881,41175,10294,position,0.02569905553944385,0.002714070816157946
w04,30881,41175,10294,tyreLife,0.011677504344559242,0.00333526596878957
w04,30881,41175,10294,gapAhead,0.044672872139966194,0.00804623635043715
w04,30881,41175,10294,gapBehind,0.032389141121936055,0.0072110926631642775
w04,30881,41175,10294,pitLoss,0.024990948424310655,0.0034046168380650736
w04,30881,41175,10294,positions_lost,0.0028689783211793495,0.0010559651545657594
w04,30881,41175,10294,gap_to_physical_car,0.018545544598338924,0.0017826717128371912
w04,30881,41175,10294,has_drop_zone_data,0.0008436259655617784,0.0008060213447685688
w04,30881,41175,10294,pace_drop_ratio,0.014210395890074001,0.0038643187919248645
w04,30881,41175,10294,tire_life_ratio,0.05083292242413515,0.005092087975690065
w04,30881,41175,10294,pace_trend,0.01861785544385145,0.002492780121051364
w04,30881,41175,10294,gapAhead_trend,0.01976691312701937,0.0019957808793813823
w04,30881,41175,10294,trackTemp_expanding_z,0.033530323201078835,0.003580907581806721
w04,30881,41175,10294,airTemp_expanding_z,0.015029637678165286,0.0031017167093740842
w04,30881,41175,10294,humidity_expanding_z,0.03470203221636419,0.0035692574513479453
w04,30881,41175,10294,speedTrap_expanding_z,0.01966117041073695,0.001577885485326424
