model,actionable_total,scored_total,tp,fp,precision,fp_rate_within_scored,excluded_no_match
SDE,6323,1020,749,271,0.734313725490196,0.2656862745098039,4873
Batch,469,102,95,7,0.9313725490196079,0.06862745098039216,359
MOA,6632,1489,1300,189,0.8730691739422431,0.12693082605775688,4915
