year,sde_actionable,sde_scored,sde_excluded,sde_tp,sde_fp,sde_precision,ml_actionable,ml_scored,ml_excluded,ml_tp,ml_fp,ml_precision,delta_precision_ml_minus_sde,delta_scored_ml_minus_sde,delta_actionable_ml_minus_sde,ml_vs_sde_scored_ratio,ml_vs_sde_actionable_ratio
2022,1398,155,1243,100,55,0.6451612903225806,698,46,652,30,16,0.6521739130434783,0.007012622720897643,-109,-700,0.2967741935483871,0.49928469241773965
2023,1572,226,1346,163,63,0.7212389380530974,399,55,344,50,5,0.9090909090909091,0.1878519710378117,-171,-1173,0.24336283185840707,0.2538167938931298
2024,1647,299,1348,227,72,0.7591973244147158,31,20,11,18,2,0.9,0.14080267558528425,-279,-1616,0.06688963210702341,0.018822100789313904
2025,1706,340,1366,259,81,0.7617647058823529,39,27,12,27,0,1.0,0.2382352941176471,-313,-1667,0.07941176470588235,0.022860492379835874
