threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.01,0.044136977956042926,0.04411449038042845,0.0
0.02,0.03461911783535515,0.03436055660880017,0.0
0.03,0.025196285237973032,0.02440551080064347,0.0
0.04,0.015992039398232474,0.014243068204816835,0.0
0.05,0.007013283055848488,0.003866679449078071,0.0
0.060000000000000005,-0.0016165217653416747,-0.006730483535506211,0.0
0.06999999999999999,-0.010154663741831015,-0.01755554249825357,0.0
0.08,-0.018288851931047227,-0.028615928829756332,0.0
0.09,-0.02621082621082621,-0.03991940057513828,0.0
0.09999999999999999,-0.03388427893588791,-0.0514740605815287,0.0
0.11,-0.04120214031185972,-0.0632883758689616,0.0
0.12,-0.048957700870269155,-0.07537119832201797,0.0
0.13,-0.05631509280777544,-0.08773178680847799,0.0
0.14,-0.06327689997787851,-0.10037983084113469,0.0
0.15000000000000002,-0.07027870042977727,-0.11332547590985395,0.0
0.16,-0.07662416514875532,-0.1265793506230665,0.0
0.17,-0.08320251253953276,-0.14015259581129622,0.0
0.18000000000000002,-0.08921567175598899,-0.15405689576021445,0.0
0.19,-0.09519140674777185,-0.1683045117572541,0.0
0.2,-0.1011738514470755,-0.1829083181542198,0.0
0.21000000000000002,-0.1067026354015356,-0.19788184116883017,0.0
0.22,-0.11241054701892592,-0.21323930067099467,0.0
0.23,-0.11734729548937199,-0.2289956552251634,0.0
0.24000000000000002,-0.122327677116288,-0.24516665068865245,0.0
0.25,-0.12691088173783985,-0.26176887269783444,0.0
0.26,-0.13097031457687197,-0.27881980340996737,0.0
0.27,-0.13516425325692488,-0.29633788290873403,0.0
0.28,-0.13899570487305765,-0.31434257572691093,0.0
0.29000000000000004,-0.14184104831376443,-0.33285444299067024,0.0
0.3,-0.1454824066845925,-0.3518952207476798,0.0
0.31,-0.14869371628696887,-0.37148790510634183,0.0
0.32,-0.151169684631594,-0.39165684488731745,0.0
0.33,-0.15325195516044554,-0.41242784257220283,0.0
0.34,-0.15577143628145454,-0.4338282644293574,0.0
0.35000000000000003,-0.1581305559447636,-0.45588716080519365,0.0
0.36000000000000004,-0.15897338595426033,-0.47863539769277486,0.0
0.37,-0.1607289829512052,-0.5021058008307553,0.0
0.38,-0.16184525791435714,-0.5263333137473803,0.0
0.39,-0.16249912906725594,-0.5513551713497965,0.0
0.4,-0.16424475477298797,-0.5772110908722932,0.0
0.41000000000000003,-0.16556931109121534,-0.6039434822430099,0.0
0.42000000000000004,-0.16562192492096395,-0.631597680212717,0.0
0.43,-0.16495701914166103,-0.6602222009182032,0.0
0.44,-0.16416572700725704,-0.6898690259345996,0.0
0.45,-0.16193630291990946,-0.7205939173152287,0.0
0.46,-0.16027494809117962,-0.7524567676358812,0.0
0.47000000000000003,-0.15753284989288704,-0.7855219896667469,0.0
0.48000000000000004,-0.15467438855416998,-0.8198589510064921,0.0
0.49,-0.15205860526764842,-0.8555424598497564,0.0
0.5,-0.1489577008702692,-0.8926533090467517,0.0
