paradigm,comparison_mode,actionable,scored,excluded,tp,fp,precision,eval_instances,accuracy_pct,kappa_pct,source_artifact,notes
SDE,full_h2_actionable_one_to_one,6323,1020,5303,749,271,0.734313725490196,,,,data_lake/reports/no_source_year_track_agnostic_v1_strict/heuristic_comparator_2022_2025_no_source_year_track_agnostic_v1_strict.csv,direct comparator metrics under fixed H=2 contract
ML_BATCH,full_h2_actionable_one_to_one,469,102,367,95,7,0.9313725490196079,,,,data_lake/reports/no_source_year_track_agnostic_v1_strict/ml_comparator_2022_2025_no_source_year_track_agnostic_v1_strict.csv,direct comparator metrics under fixed H=2 contract
MOA_ARF_DECISION,full_h2_actionable_one_to_one,6632,1489,5143,1300,189,0.8730691739422431,,,,data_lake/reports/no_source_year_track_agnostic_v1_strict/moa_comparator_2022_2025_no_source_year_track_agnostic_v1_strict.csv,direct comparator metrics under fixed H=2 contract from decoded MOA decisions
MOA_ARF,prequential_stream_baseline,,,,,,,124136.0,89.66456144873365,14.778864796871932,data_lake/reports/no_source_year_track_agnostic_v1_strict/moa_arf_summary_2022_2025_no_source_year_track_agnostic_v1_strict.csv,"prequential stream metrics, not yet mapped to comparator semantics; use as baseline until MOA decision mapping is added"
