protocol,year,score_type,point_label,requested_threshold,effective_threshold,precision,recall
ml_pretrain,overall,raw_proba,threshold_0.50,0.5,0.499996542930603,0.17033344792024752,0.6414239482200648
ml_pretrain,overall,raw_proba,threshold_0.10,0.1,0.1000107526779174,0.09217160202712385,0.9158576051779935
ml_pretrain,overall,raw_proba,threshold_0.05,0.05,0.0500035248696804,0.08552234649835244,0.9541747572815534
ml_pretrain,overall,raw_proba,constrained_median,0.76,0.7600113153457642,0.3325740318906606,0.3023948220064725
ml_pretrain,overall,calibrated_proba,threshold_0.50,0.5,0.5,0.6022471910112359,0.034692556634304206
ml_pretrain,overall,calibrated_proba,threshold_0.10,0.1,0.1,0.2531931975768192,0.44906148867313916
ml_pretrain,overall,calibrated_proba,threshold_0.05,0.05,0.05,0.1491611563473414,0.7066666666666667
ml_pretrain,overall,calibrated_proba,constrained_median,0.76,0.7611940298507462,0.7254901960784313,0.004789644012944984
ml_racewise,overall,raw_proba,threshold_0.50,0.5,0.499996542930603,0.1687867920698288,0.6046539813355957
ml_racewise,overall,raw_proba,threshold_0.10,0.1,0.0999948531389236,0.09129327966091068,0.8823172948733486
ml_racewise,overall,raw_proba,threshold_0.05,0.05,0.0500035248696804,0.08422889583494406,0.9242516058659557
ml_racewise,overall,raw_proba,constrained_median,0.75,0.7499961853027344,0.31981519507186856,0.30202399709126165
ml_racewise,overall,calibrated_proba,threshold_0.50,0.5,0.5,0.5879828326180258,0.03320809598836505
ml_racewise,overall,calibrated_proba,threshold_0.10,0.1,0.1,0.2367191671115857,0.42988728638952856
ml_racewise,overall,calibrated_proba,threshold_0.05,0.05,0.05,0.13817935767622821,0.693006908253545
ml_racewise,overall,calibrated_proba,constrained_median,0.75,0.75,0.7413793103448276,0.005211489516422252
