model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,148,125,23,0.8445945945945946,0.777596026541791,0.8941572666114926
ML_minus_SDE,-872,-624,-248,0.1102808691043986,,
