model,scored,tp,fp,precision,wilson_ci_low,wilson_ci_high
SDE,1020,749,271,0.734313725490196,0.7063647025693544,0.760504455620998
ML,102,95,7,0.9313725490196079,0.8650704496132519,0.9663617791231328
ML_minus_SDE,-918,-654,-264,0.19705882352941184,,
