target,Batch No-Year AP,Batch Percent AP,MOA No-Year AP,MOA Percent AP,interpretation
pit_any_h2,0.13134313358429492,0.19022767602707208,0.16090684167581024,0.19511402648935894,MOA Percent has highest AP.
pit_success_h2,0.06812079679218949,0.08698679326421052,0.10075654156868714,0.13443174174744876,MOA Percent has highest AP.
