race,positives,negatives,tp,fp,fn,tn,kappa,gmean,year,race_name,race_index,system,target
2025 :: Qatar Grand Prix,85,914,0,3,85,911,-0.0058351067481292596,0.0,2025,Qatar Grand Prix,87,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Saudi Arabian Grand Prix,32,813,5,11,27,802,0.18782881424524478,0.39260147269102746,2025,Saudi Arabian Grand Prix,88,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Singapore Grand Prix,46,1165,2,24,44,1141,0.028915094339622693,0.2063554491048312,2025,Singapore Grand Prix,89,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: Spanish Grand Prix,104,995,4,13,100,982,0.040604744945651805,0.1948307621981816,2025,Spanish Grand Prix,90,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: São Paulo Grand Prix,70,1056,11,33,59,1023,0.15230270694903603,0.3901693771391379,2025,São Paulo Grand Prix,91,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2025 :: United States Grand Prix,42,959,4,7,38,952,0.13589364844903995,0.3074783352688689,2025,United States Grand Prix,92,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Abu Dhabi Grand Prix,26,1036,2,8,24,1028,0.09885447602885022,0.2762771730148481,2022,Abu Dhabi Grand Prix,1,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Australian Grand Prix,20,821,0,18,20,803,-0.023048850758691453,0.0,2022,Australian Grand Prix,2,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Austrian Grand Prix,46,1191,3,6,43,1185,0.09811477971044691,0.25473288012083045,2022,Austrian Grand Prix,3,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Azerbaijan Grand Prix,25,748,1,5,24,743,0.05265604530279333,0.1993304299921505,2022,Azerbaijan Grand Prix,4,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Bahrain Grand Prix,49,924,0,3,49,921,-0.005844698023935502,0.0,2022,Bahrain Grand Prix,5,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Belgian Grand Prix,24,679,4,6,20,673,0.21962257706429855,0.4064405400751665,2022,Belgian Grand Prix,6,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: British Grand Prix,4,271,0,0,4,271,0.0,0.0,2022,British Grand Prix,7,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Canadian Grand Prix,19,1028,0,7,19,1021,-0.009867932927734246,0.0,2022,Canadian Grand Prix,8,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Dutch Grand Prix,41,1131,2,4,39,1127,0.0768610785463072,0.220472143786381,2022,Dutch Grand Prix,9,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Emilia Romagna Grand Prix,22,1023,3,20,19,1003,0.11427205355008374,0.36564693437591095,2022,Emilia Romagna Grand Prix,10,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: French Grand Prix,16,844,1,13,15,831,0.050173556326917,0.24806717290863278,2022,French Grand Prix,11,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Hungarian Grand Prix,34,1227,3,16,31,1211,0.09572633923803431,0.2951011888069334,2022,Hungarian Grand Prix,12,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Italian Grand Prix,36,781,0,4,36,777,-0.008891084218325407,0.0,2022,Italian Grand Prix,13,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Japanese Grand Prix,2,176,0,0,2,176,0.0,0.0,2022,Japanese Grand Prix,14,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Mexico City Grand Prix,12,1295,0,6,12,1289,-0.00615858352578913,0.0,2022,Mexico City Grand Prix,15,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Miami Grand Prix,21,886,0,3,21,883,-0.005822012752980443,0.0,2022,Miami Grand Prix,16,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Monaco Grand Prix,18,1006,2,41,16,965,0.041828091141900337,0.3264700994992039,2022,Monaco Grand Prix,17,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Saudi Arabian Grand Prix,10,493,0,0,10,493,0.0,0.0,2022,Saudi Arabian Grand Prix,18,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Singapore Grand Prix,7,609,0,5,7,604,-0.009560229445506607,0.0,2022,Singapore Grand Prix,19,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Spanish Grand Prix,42,1130,0,21,42,1109,-0.02447552447552459,0.0,2022,Spanish Grand Prix,20,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: São Paulo Grand Prix,22,974,2,6,20,968,0.12300189650501225,0.3005812302446035,2022,São Paulo Grand Prix,21,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: United States Grand Prix,26,788,0,7,26,781,-0.013736885802702048,0.0,2022,United States Grand Prix,22,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Abu Dhabi Grand Prix,44,1012,0,3,44,1009,-0.005347593582887722,0.0,2023,Abu Dhabi Grand Prix,23,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Australian Grand Prix,10,748,1,30,9,718,0.029417558605292604,0.30982140793178614,2023,Australian Grand Prix,24,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Austrian Grand Prix,22,1240,2,7,20,1233,0.1201260135309612,0.30065910002551477,2023,Austrian Grand Prix,25,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Azerbaijan Grand Prix,16,846,0,7,16,839,-0.011427405366799315,0.0,2023,Azerbaijan Grand Prix,26,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Bahrain Grand Prix,60,925,0,2,60,923,-0.003945421666940785,0.0,2023,Bahrain Grand Prix,27,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Belgian Grand Prix,36,751,3,5,33,746,0.12175496299776822,0.28771256060898576,2023,Belgian Grand Prix,28,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: British Grand Prix,18,719,1,0,17,719,0.10295697000071591,0.23570226039551584,2023,British Grand Prix,29,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Canadian Grand Prix,18,1130,0,9,18,1121,-0.010563380281690238,0.0,2023,Canadian Grand Prix,30,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Dutch Grand Prix,12,1074,1,6,11,1068,0.09791849897390803,0.2878676501191171,2023,Dutch Grand Prix,31,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Hungarian Grand Prix,26,1181,0,4,26,1177,-0.005777456807955161,0.0,2023,Hungarian Grand Prix,32,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Italian Grand Prix,14,751,1,4,13,747,0.0965613060090309,0.26654854399861216,2023,Italian Grand Prix,33,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Japanese Grand Prix,15,706,1,4,14,702,0.09053959355290819,0.2574664091514848,2023,Japanese Grand Prix,34,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Las Vegas Grand Prix,18,748,2,2,16,746,0.17476657888436686,0.3328874022529667,2023,Las Vegas Grand Prix,35,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Mexico City Grand Prix,14,1148,0,12,14,1136,-0.011246485473289658,0.0,2023,Mexico City Grand Prix,36,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Miami Grand Prix,12,1096,0,1,12,1095,-0.0016689847009736525,0.0,2023,Miami Grand Prix,37,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Monaco Grand Prix,4,1449,0,49,4,1400,-0.0051163579884361265,0.0,2023,Monaco Grand Prix,38,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Qatar Grand Prix,24,874,3,2,21,872,0.19951941709944954,0.3531486355772434,2023,Qatar Grand Prix,39,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Saudi Arabian Grand Prix,12,839,0,1,12,838,-0.0021741099737295766,0.0,2023,Saudi Arabian Grand Prix,40,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Singapore Grand Prix,21,952,0,9,21,943,-0.013119533527696792,0.0,2023,Singapore Grand Prix,41,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: Spanish Grand Prix,44,1223,0,7,44,1216,-0.00962484961172505,0.0,2023,Spanish Grand Prix,42,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: São Paulo Grand Prix,36,998,3,4,33,994,0.1296692297192774,0.28809604647986403,2023,São Paulo Grand Prix,43,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2023 :: United States Grand Prix,32,932,0,3,32,929,-0.005723142959341843,0.0,2023,United States Grand Prix,44,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Abu Dhabi Grand Prix,24,928,0,11,24,917,-0.016101488167845845,0.0,2024,Abu Dhabi Grand Prix,45,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Australian Grand Prix,16,822,0,2,16,820,-0.0042609853528630115,0.0,2024,Australian Grand Prix,46,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Austrian Grand Prix,44,1297,2,6,42,1291,0.06750883699368371,0.2127070050414225,2024,Austrian Grand Prix,47,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Azerbaijan Grand Prix,18,901,0,5,18,896,-0.008589015603378547,0.0,2024,Azerbaijan Grand Prix,48,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Bahrain Grand Prix,44,1044,3,1,41,1043,0.11906230721776678,0.26099139818556233,2024,Bahrain Grand Prix,49,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Belgian Grand Prix,12,590,0,2,12,588,-0.005727923627685039,0.0,2024,Belgian Grand Prix,50,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: British Grand Prix,20,872,0,13,20,859,-0.017983123530225464,0.0,2024,British Grand Prix,51,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Canadian Grand Prix,15,1032,0,13,15,1019,-0.013482679941920761,0.0,2024,Canadian Grand Prix,52,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Chinese Grand Prix,22,802,1,4,21,798,0.06482658434719457,0.2126683791544447,2024,Chinese Grand Prix,53,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Dutch Grand Prix,12,1367,0,3,12,1364,-0.003492941347693179,0.0,2024,Dutch Grand Prix,54,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Emilia Romagna Grand Prix,20,1176,0,12,20,1164,-0.012701100762065876,0.0,2024,Emilia Romagna Grand Prix,55,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Hungarian Grand Prix,36,1288,1,9,35,1279,0.032035092383357666,0.16608334774713504,2024,Hungarian Grand Prix,56,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Italian Grand Prix,22,938,0,0,22,938,0.0,0.0,2024,Italian Grand Prix,57,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Japanese Grand Prix,17,839,0,4,17,835,-0.007623318385650224,0.0,2024,Japanese Grand Prix,58,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Las Vegas Grand Prix,44,848,6,9,38,839,0.18289545489982062,0.3673096524582798,2024,Las Vegas Grand Prix,59,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Mexico City Grand Prix,20,1071,5,28,15,1043,0.16972550130081587,0.4934207659671223,2024,Mexico City Grand Prix,60,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Miami Grand Prix,11,837,0,1,11,836,-0.002166633838881271,0.0,2024,Miami Grand Prix,61,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Monaco Grand Prix,2,1220,1,85,1,1135,0.019591014254795036,0.6820292768101891,2024,Monaco Grand Prix,62,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Qatar Grand Prix,12,750,1,2,11,748,0.12783940834653984,0.2882899774725287,2024,Qatar Grand Prix,63,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Saudi Arabian Grand Prix,20,814,1,38,19,776,0.002266717038156285,0.21832509628040397,2024,Saudi Arabian Grand Prix,64,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Singapore Grand Prix,16,1120,1,14,15,1106,0.05158912943344085,0.2484325864293974,2024,Singapore Grand Prix,65,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: Spanish Grand Prix,40,1215,3,15,37,1200,0.08535388927820609,0.2721655269759087,2024,Spanish Grand Prix,66,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2024 :: United States Grand Prix,22,944,1,8,21,936,0.051979695431472184,0.2122954013685148,2024,United States Grand Prix,68,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Abu Dhabi Grand Prix,34,1082,0,1,34,1081,-0.001743947476405383,0.0,2025,Abu Dhabi Grand Prix,69,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Austrian Grand Prix,18,1031,1,24,17,1007,0.027099780577736543,0.23294272418175818,2025,Austrian Grand Prix,71,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Azerbaijan Grand Prix,14,868,0,26,14,842,-0.021069692058346856,0.0,2025,Azerbaijan Grand Prix,72,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Bahrain Grand Prix,54,961,4,2,50,959,0.12401248091349659,0.271882168724199,2025,Bahrain Grand Prix,73,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Belgian Grand Prix,28,789,0,11,28,778,-0.019713892533683053,0.0,2025,Belgian Grand Prix,74,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: British Grand Prix,4,512,1,26,3,486,0.05171102661596971,0.48713928962874675,2025,British Grand Prix,75,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Canadian Grand Prix,30,1065,2,5,28,1060,0.09876543209876532,0.25759207600639283,2025,Canadian Grand Prix,76,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Chinese Grand Prix,16,1021,0,2,16,1019,-0.003440490269863483,0.0,2025,Chinese Grand Prix,77,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Dutch Grand Prix,32,1059,1,5,31,1054,0.04377465063056929,0.17635888167700683,2025,Dutch Grand Prix,78,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Emilia Romagna Grand Prix,29,979,2,9,27,970,0.08552996320749962,0.26140297149765107,2025,Emilia Romagna Grand Prix,79,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Hungarian Grand Prix,14,1309,1,10,13,1299,0.0713522751548814,0.26623842437557926,2025,Hungarian Grand Prix,80,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Italian Grand Prix,12,929,0,4,12,925,-0.0064171122994651775,0.0,2025,Italian Grand Prix,81,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Japanese Grand Prix,20,1011,2,1,18,1010,0.16971135506294255,0.316071333770799,2025,Japanese Grand Prix,82,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Las Vegas Grand Prix,9,785,0,6,9,779,-0.009150991357397054,0.0,2025,Las Vegas Grand Prix,83,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Mexico City Grand Prix,30,1166,0,15,30,1151,-0.017006802721088565,0.0,2025,Mexico City Grand Prix,84,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Miami Grand Prix,2,476,0,5,2,471,-0.006013229104028905,0.0,2025,Miami Grand Prix,85,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Monaco Grand Prix,26,1292,1,88,25,1204,-0.013556369179676508,0.18931948423555606,2025,Monaco Grand Prix,86,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Qatar Grand Prix,51,934,0,3,51,931,-0.005786249149080991,0.0,2025,Qatar Grand Prix,87,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Saudi Arabian Grand Prix,14,823,0,15,14,808,-0.01760784806942528,0.0,2025,Saudi Arabian Grand Prix,88,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Singapore Grand Prix,16,1187,1,24,15,1163,0.03309770624240049,0.24745971394405555,2025,Singapore Grand Prix,89,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: Spanish Grand Prix,35,1032,1,15,34,1017,0.019025461095371177,0.16779793258381343,2025,Spanish Grand Prix,90,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: São Paulo Grand Prix,20,1068,4,35,16,1033,0.1140630987354706,0.4398246160504152,2025,São Paulo Grand Prix,91,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2025 :: United States Grand Prix,18,973,2,9,16,964,0.12588646226581512,0.3317881280002692,2025,United States Grand Prix,92,Flink Strategy Engine,target_pit_success_h2_clean_actionable
2022 :: Abu Dhabi Grand Prix,68,1018,9,14,59,1004,0.17158143325879338,0.361293181783871,2022,Abu Dhabi Grand Prix,1,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Australian Grand Prix,42,814,33,387,9,427,0.05890191897654573,0.6419985686605244,2022,Australian Grand Prix,2,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Austrian Grand Prix,85,1182,0,0,85,1182,0.0,0.0,2022,Austrian Grand Prix,3,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Azerbaijan Grand Prix,55,732,9,27,46,705,0.15084913608347994,0.3969894156336996,2022,Azerbaijan Grand Prix,4,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Belgian Grand Prix,72,647,44,131,28,516,0.24982774799367413,0.6981243731539178,2022,Belgian Grand Prix,5,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: British Grand Prix,20,267,6,46,14,221,0.07339647008179073,0.49831175657571336,2022,British Grand Prix,6,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Canadian Grand Prix,61,1025,0,0,61,1025,0.0,0.0,2022,Canadian Grand Prix,7,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Dutch Grand Prix,109,1094,30,45,79,1049,0.27233880645066877,0.5137199853389314,2022,Dutch Grand Prix,8,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Emilia Romagna Grand Prix,48,1007,18,75,30,932,0.20777103134587738,0.589126901825758,2022,Emilia Romagna Grand Prix,9,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: French Grand Prix,53,824,24,93,29,731,0.21723926021303996,0.6338153730329316,2022,French Grand Prix,10,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Hungarian Grand Prix,81,1207,15,13,66,1194,0.25103050288540807,0.4280077652927329,2022,Hungarian Grand Prix,11,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Italian Grand Prix,60,775,14,51,46,724,0.16132539477090346,0.46688167090137084,2022,Italian Grand Prix,12,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Japanese Grand Prix,8,177,0,20,8,157,-0.06584362139917688,0.0,2022,Japanese Grand Prix,13,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Mexico City Grand Prix,48,1283,30,199,18,1084,0.16693250418946481,0.7266768443849286,2022,Mexico City Grand Prix,14,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Miami Grand Prix,47,878,16,85,31,793,0.15781046418536016,0.5544985286120494,2022,Miami Grand Prix,15,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Monaco Grand Prix,63,980,12,26,51,954,0.2013226592412113,0.430607408813157,2022,Monaco Grand Prix,16,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Saudi Arabian Grand Prix,31,486,1,45,30,441,-0.04919230457017609,0.1710883008582455,2022,Saudi Arabian Grand Prix,17,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Singapore Grand Prix,38,600,0,2,38,598,-0.0059918006937873525,0.0,2022,Singapore Grand Prix,18,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: Spanish Grand Prix,106,1106,29,114,77,992,0.1472711734543526,0.49536388292396755,2022,Spanish Grand Prix,19,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: São Paulo Grand Prix,80,950,0,0,80,950,0.0,0.0,2022,São Paulo Grand Prix,20,Batch No-Year,target_pit_any_h2_clean_actionable
2022 :: United States Grand Prix,68,772,9,46,59,726,0.0797161936560935,0.3527982795148664,2022,United States Grand Prix,21,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Abu Dhabi Grand Prix,71,993,29,94,42,899,0.2341677692511246,0.6081000599233178,2023,Abu Dhabi Grand Prix,22,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Australian Grand Prix,25,765,0,0,25,765,0.0,0.0,2023,Australian Grand Prix,23,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Austrian Grand Prix,81,1229,4,13,77,1216,0.06150000796013555,0.2210437970733696,2023,Austrian Grand Prix,24,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Azerbaijan Grand Prix,45,837,1,5,44,832,0.027541514783313015,0.14862527707469658,2023,Azerbaijan Grand Prix,25,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Bahrain Grand Prix,101,903,13,12,88,891,0.1733495809112915,0.3563739626246584,2023,Bahrain Grand Prix,26,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Belgian Grand Prix,76,721,12,132,64,589,-0.01798608033782556,0.3591483221971556,2023,Belgian Grand Prix,27,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: British Grand Prix,38,710,24,152,14,558,0.15356928614277143,0.704533661199227,2023,British Grand Prix,28,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Canadian Grand Prix,65,1122,3,8,62,1114,0.06411209479398994,0.21406719382432773,2023,Canadian Grand Prix,29,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Dutch Grand Prix,125,1048,0,0,125,1048,0.0,0.0,2023,Dutch Grand Prix,30,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Hungarian Grand Prix,74,1157,38,200,36,957,0.1672132275374948,0.6517262712307224,2023,Hungarian Grand Prix,31,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Italian Grand Prix,42,739,2,2,40,737,0.07833661140769888,0.21792240209742278,2023,Italian Grand Prix,32,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Japanese Grand Prix,67,694,7,6,60,688,0.150698366532517,0.3218296867657708,2023,Japanese Grand Prix,33,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Las Vegas Grand Prix,52,738,4,6,48,732,0.11013767209011249,0.27622035778302734,2023,Las Vegas Grand Prix,34,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Mexico City Grand Prix,51,1133,2,1,49,1132,0.06962124783906953,0.19794209764047133,2023,Mexico City Grand Prix,35,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Miami Grand Prix,38,1080,0,0,38,1080,0.0,0.0,2023,Miami Grand Prix,36,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Monaco Grand Prix,69,1426,0,1,69,1425,-0.001320422535211252,0.0,2023,Monaco Grand Prix,37,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Qatar Grand Prix,100,844,0,0,100,844,0.0,0.0,2023,Qatar Grand Prix,38,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Saudi Arabian Grand Prix,42,828,2,6,40,822,0.06556458391706355,0.2174258081658908,2023,Saudi Arabian Grand Prix,39,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Singapore Grand Prix,47,944,0,2,47,942,-0.003886626284343997,0.0,2023,Singapore Grand Prix,40,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: Spanish Grand Prix,84,1211,13,16,71,1195,0.20357266564402,0.3907904249423884,2023,Spanish Grand Prix,41,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: São Paulo Grand Prix,70,998,4,1,66,997,0.0987909319899245,0.23892592946553648,2023,São Paulo Grand Prix,42,Batch No-Year,target_pit_any_h2_clean_actionable
2023 :: United States Grand Prix,74,910,0,3,74,907,-0.005894535606181028,0.0,2023,United States Grand Prix,43,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Abu Dhabi Grand Prix,54,912,15,36,39,876,0.2446988177894539,0.5165393165065715,2024,Abu Dhabi Grand Prix,44,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Australian Grand Prix,68,806,4,3,64,803,0.09350134679092248,0.2420838352152307,2024,Australian Grand Prix,45,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Austrian Grand Prix,88,1273,0,0,88,1273,0.0,0.0,2024,Austrian Grand Prix,46,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Azerbaijan Grand Prix,46,879,9,15,37,864,0.23091682389434298,0.4385355169358419,2024,Azerbaijan Grand Prix,47,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Bahrain Grand Prix,84,1024,32,96,52,928,0.2315363275099348,0.5875696513930031,2024,Bahrain Grand Prix,48,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Belgian Grand Prix,46,556,6,31,40,525,0.08204114943516183,0.35094492401723465,2024,Belgian Grand Prix,49,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: British Grand Prix,92,850,0,9,92,841,-0.017713882292535787,0.0,2024,British Grand Prix,50,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Canadian Grand Prix,85,1023,18,36,67,987,0.21202496685815297,0.4520094860399179,2024,Canadian Grand Prix,51,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Chinese Grand Prix,53,782,0,0,53,782,0.0,0.0,2024,Chinese Grand Prix,52,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Dutch Grand Prix,52,1355,17,60,35,1295,0.2295743393181361,0.558969389424803,2024,Dutch Grand Prix,53,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Emilia Romagna Grand Prix,55,1163,0,8,55,1155,-0.011601233949429135,0.0,2024,Emilia Romagna Grand Prix,54,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Hungarian Grand Prix,80,1256,10,41,70,1215,0.11123363858656565,0.34773493639158715,2024,Hungarian Grand Prix,55,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Italian Grand Prix,60,922,0,2,60,920,-0.003957522590858131,0.0,2024,Italian Grand Prix,56,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Japanese Grand Prix,67,797,31,94,36,703,0.24687202456784996,0.6388397740112483,2024,Japanese Grand Prix,57,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Las Vegas Grand Prix,81,825,0,0,81,825,0.0,0.0,2024,Las Vegas Grand Prix,58,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Mexico City Grand Prix,44,1061,14,41,30,1020,0.24962938166515236,0.5530699639801269,2024,Mexico City Grand Prix,59,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Miami Grand Prix,45,820,0,0,45,820,0.0,0.0,2024,Miami Grand Prix,60,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Monaco Grand Prix,14,1212,1,68,13,1144,0.005209063770961642,0.25965559461923293,2024,Monaco Grand Prix,61,Batch No-Year,target_pit_any_h2_clean_actionable
2024 :: Qatar Grand Prix,73,715,0,18,73,697,-0.03804284887087417,0.0,2024,Qatar Grand Prix,62,Batch No-Year,target_pit_any_h2_clean_actionable
