race,positives,negatives,tp,fp,fn,tn,kappa,gmean,year,race_name,race_index,system,target
2024 :: Qatar Grand Prix,12,750,0,0,12,750,0.0,0.0,2024,Qatar Grand Prix,63,MOA Percent,target_pit_success_h2_clean_actionable
2024 :: Saudi Arabian Grand Prix,20,814,0,0,20,814,0.0,0.0,2024,Saudi Arabian Grand Prix,64,MOA Percent,target_pit_success_h2_clean_actionable
2024 :: Singapore Grand Prix,16,1120,1,0,15,1120,0.1161825726141078,0.25,2024,Singapore Grand Prix,65,MOA Percent,target_pit_success_h2_clean_actionable
2024 :: Spanish Grand Prix,40,1215,0,0,40,1215,0.0,0.0,2024,Spanish Grand Prix,66,MOA Percent,target_pit_success_h2_clean_actionable
2024 :: United States Grand Prix,22,944,0,3,22,941,-0.005495878091431372,0.0,2024,United States Grand Prix,68,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Abu Dhabi Grand Prix,34,1082,0,1,34,1081,-0.001743947476405383,0.0,2025,Abu Dhabi Grand Prix,69,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Austrian Grand Prix,18,1031,1,0,17,1031,0.10364413169137976,0.23570226039551584,2025,Austrian Grand Prix,71,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Azerbaijan Grand Prix,14,868,0,0,14,868,0.0,0.0,2025,Azerbaijan Grand Prix,72,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Bahrain Grand Prix,54,961,6,0,48,961,0.19139613622784302,0.3333333333333333,2025,Bahrain Grand Prix,73,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Belgian Grand Prix,28,789,1,1,27,788,0.062382162472333746,0.18886243792743695,2025,Belgian Grand Prix,74,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: British Grand Prix,4,512,0,0,4,512,0.0,0.0,2025,British Grand Prix,75,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Canadian Grand Prix,30,1065,2,0,28,1065,0.12199312714776644,0.2581988897471611,2025,Canadian Grand Prix,76,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Chinese Grand Prix,16,1021,0,0,16,1021,0.0,0.0,2025,Chinese Grand Prix,77,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Dutch Grand Prix,32,1059,1,0,31,1059,0.05893319235371042,0.1767766952966369,2025,Dutch Grand Prix,78,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Emilia Romagna Grand Prix,29,979,0,2,29,977,-0.0037260696389567194,0.0,2025,Emilia Romagna Grand Prix,79,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Hungarian Grand Prix,14,1309,0,0,14,1309,0.0,0.0,2025,Hungarian Grand Prix,80,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Italian Grand Prix,12,929,0,0,12,929,0.0,0.0,2025,Italian Grand Prix,81,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Japanese Grand Prix,20,1011,0,0,20,1011,0.0,0.0,2025,Japanese Grand Prix,82,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Las Vegas Grand Prix,9,785,0,0,9,785,0.0,0.0,2025,Las Vegas Grand Prix,83,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Mexico City Grand Prix,30,1166,0,0,30,1166,0.0,0.0,2025,Mexico City Grand Prix,84,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Miami Grand Prix,2,476,0,0,2,476,0.0,0.0,2025,Miami Grand Prix,85,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Monaco Grand Prix,26,1292,0,0,26,1292,0.0,0.0,2025,Monaco Grand Prix,86,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Qatar Grand Prix,51,934,1,2,50,932,0.0314650934119961,0.13987800513703064,2025,Qatar Grand Prix,87,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Saudi Arabian Grand Prix,14,823,0,0,14,823,0.0,0.0,2025,Saudi Arabian Grand Prix,88,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Singapore Grand Prix,16,1187,0,0,16,1187,0.0,0.0,2025,Singapore Grand Prix,89,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: Spanish Grand Prix,35,1032,0,0,35,1032,0.0,0.0,2025,Spanish Grand Prix,90,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: São Paulo Grand Prix,20,1068,0,0,20,1068,0.0,0.0,2025,São Paulo Grand Prix,91,MOA Percent,target_pit_success_h2_clean_actionable
2025 :: United States Grand Prix,18,973,0,0,18,973,0.0,0.0,2025,United States Grand Prix,92,MOA Percent,target_pit_success_h2_clean_actionable
